id_en	text_clean	claude_candidate_json	gemini_candidate_json	gemini_pro_single_candidate_json	gpt_single_candidate_json	shuffled_candidates_json	discriminator_run2_json	discriminator_run2_error	discriminator_run2_model	discriminator_run2_model_id	discriminator_run2_version
901	Dr. Jekyll's more successful second formula turned him into a world-class sprinter rather than a violent psychopath, proving that you can run but you can't always Hyde.	"{""source"":""claude"",""original_id"":""69854"",""pun"":""Jekyll avait deux personnalités : le jour, brillant chercheur ; la nuit, un être qui se masquait. Son thérapeute lui a dit : 'Vous avez un double visage.' Jekyll a répondu : 'Non, j'ai un double usage.'""}"	"{""source"":""gemini"",""original_id"":""82859"",""pun"":""Pourquoi Jekyll ne joue-t-il jamais à cache-cache ? Parce qu'il finit toujours par se Hyde-er.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Le Dr Jekyll s'est mis au sprint pour fuir son alter ego : on l'appelle désormais Docteur J'esquive et Mister Cache.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Jekyll ne joue plus à cache-Hyde : avec sa nouvelle potion, son double ne se cache plus, il double tout le monde.""}"	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Jekyll ne joue plus à cache-Hyde : avec sa nouvelle potion, son double ne se cache plus, il double tout le monde."",""id"":30716},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Le Dr Jekyll s'est mis au sprint pour fuir son alter ego : on l'appelle désormais Docteur J'esquive et Mister Cache."",""id"":70043},{""source"":""claude"",""original_id"":""69854"",""pun"":""Jekyll avait deux personnalités : le jour, brillant chercheur ; la nuit, un être qui se masquait. Son thérapeute lui a dit : 'Vous avez un double visage.' Jekyll a répondu : 'Non, j'ai un double usage.'"",""id"":27712},{""source"":""gemini"",""original_id"":""82859"",""pun"":""Pourquoi Jekyll ne joue-t-il jamais à cache-cache ? Parce qu'il finit toujours par se Hyde-er."",""id"":44798}]"	"{""comedian"":[70043,30716,44798,27712],""pun_expert"":[70043,30716,44798,27712],""editor"":[70043,27712,30716,44798],""translator"":[70043,30716,44798,27712]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
902	Drinking a whole bucket of water could make you turn pail.	"{""source"":""claude"",""original_id"":""14785"",""pun"":""Boire un seau entier rend pâle ? Logique : trop d'eau, ça dilue même le teint. On appelle ça l'effet seau-blême.""}"	"{""source"":""gemini"",""original_id"":""28858"",""pun"":""Mon ami est devenu tout pâle après être tombé dans un seau de peinture. C'est un vrai cas de seau-pâle.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Essayer de boire toute l'eau de ce récipient d'un seul trait, c'est vraiment seau !""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après un seau de liquide, tu deviens vite livide.""}"	"[{""source"":""claude"",""original_id"":""14785"",""pun"":""Boire un seau entier rend pâle ? Logique : trop d'eau, ça dilue même le teint. On appelle ça l'effet seau-blême."",""id"":59098},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Essayer de boire toute l'eau de ce récipient d'un seul trait, c'est vraiment seau !"",""id"":80254},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après un seau de liquide, tu deviens vite livide."",""id"":46878},{""source"":""gemini"",""original_id"":""28858"",""pun"":""Mon ami est devenu tout pâle après être tombé dans un seau de peinture. C'est un vrai cas de seau-pâle."",""id"":55330}]"	"{""comedian"":[80254,59098,46878,55330],""pun_expert"":[80254,59098,55330,46878],""editor"":[80254,46878,59098,55330],""translator"":[59098,80254,46878,55330]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
903	Drinking too much of a certain potent potable may require a leave of absinthe.	"{""source"":""claude"",""original_id"":""84265"",""pun"":""Il a tellement bu d'absinthe qu'il est parti sans laisser d'absinthe.""}"	"{""source"":""gemini"",""original_id"":""48461"",""pun"":""J'ai commandé une liqueur de plante, mais elle n'est jamais arrivée : elle était absinthe.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""À force d'abuser de la fée verte, le poète a fini par briller par son absinthe.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après trop d’absinthe, j’ai demandé une mise au verre.""}"	"[{""source"":""gemini"",""original_id"":""48461"",""pun"":""J'ai commandé une liqueur de plante, mais elle n'est jamais arrivée : elle était absinthe."",""id"":81765},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après trop d’absinthe, j’ai demandé une mise au verre."",""id"":76365},{""source"":""claude"",""original_id"":""84265"",""pun"":""Il a tellement bu d'absinthe qu'il est parti sans laisser d'absinthe."",""id"":67216},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""À force d'abuser de la fée verte, le poète a fini par briller par son absinthe."",""id"":30581}]"	"{""comedian"":[81765,30581,76365,67216],""pun_expert"":[30581,76365,81765,67216],""editor"":[30581,76365,81765,67216],""translator"":[30581,76365,81765,67216]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
904	Driven By What's Inside.	"{""source"":""claude"",""original_id"":""35112"",""pun"":""Je suis mû par ce qui est en moi — et ce moteur, il tourne rond.""}"	"{""source"":""gemini"",""original_id"":""29825"",""pun"":""Les voitures électriques n'ont pas de piston, elles n'ont que des relations.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""C'est ce qu'on a dans le ventre qui nous fait avancer.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Ce qui nous fait avancer, c’est ce qu’on a sous le capot.""}"	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""C'est ce qu'on a dans le ventre qui nous fait avancer."",""id"":11773},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Ce qui nous fait avancer, c’est ce qu’on a sous le capot."",""id"":81533},{""source"":""claude"",""original_id"":""35112"",""pun"":""Je suis mû par ce qui est en moi — et ce moteur, il tourne rond."",""id"":84433},{""source"":""gemini"",""original_id"":""29825"",""pun"":""Les voitures électriques n'ont pas de piston, elles n'ont que des relations."",""id"":72930}]"	"{""comedian"":[72930,81533,11773,84433],""pun_expert"":[72930,81533,11773,84433],""editor"":[11773,81533,72930,84433],""translator"":[81533,11773,84433,72930]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
905	Driven by you.	"{""source"":""claude"",""original_id"":""99959"",""pun"":""On dit que je suis animé par mes convictions. Ma voiture, elle, est animée par sans-plomb 95 — elle a moins de principes mais fait moins de crises.""}"	"{""source"":""gemini"",""original_id"":""25169"",""pun"":""Entre nous, c'est une relation qui roule, tu es mon carburant.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Avec toi, je ne tombe jamais en panne, tu es mon moteur.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Vous êtes mon moteur : avec vous, forcément, j’avance.""}"	"[{""source"":""claude"",""original_id"":""99959"",""pun"":""On dit que je suis animé par mes convictions. Ma voiture, elle, est animée par sans-plomb 95 — elle a moins de principes mais fait moins de crises."",""id"":58796},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Vous êtes mon moteur : avec vous, forcément, j’avance."",""id"":89455},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Avec toi, je ne tombe jamais en panne, tu es mon moteur."",""id"":30330},{""source"":""gemini"",""original_id"":""25169"",""pun"":""Entre nous, c'est une relation qui roule, tu es mon carburant."",""id"":23630}]"	"{""comedian"":[58796,23630,89455,30330],""pun_expert"":[58796,23630,89455,30330],""editor"":[23630,89455,30330,58796],""translator"":[89455,30330,23630,58796]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
906	Driven to perform.	"{""source"":""claude"",""original_id"":""92795"",""pun"":""Je suis conduit par mes ambitions — hélas, elles n'ont pas le permis.""}"	"{""source"":""gemini"",""original_id"":""30558"",""pun"":""L'acteur était tellement motivé pour son rôle de mécanicien qu'il est passé de moteur en scène à metteur en scène.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Ce pilote de course carbure à la performance.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Il est vraiment conduit à se produire : sans chauffeur, il ne monte jamais sur scène.""}"	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Il est vraiment conduit à se produire : sans chauffeur, il ne monte jamais sur scène."",""id"":79004},{""source"":""claude"",""original_id"":""92795"",""pun"":""Je suis conduit par mes ambitions — hélas, elles n'ont pas le permis."",""id"":41499},{""source"":""gemini"",""original_id"":""30558"",""pun"":""L'acteur était tellement motivé pour son rôle de mécanicien qu'il est passé de moteur en scène à metteur en scène."",""id"":92763},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Ce pilote de course carbure à la performance."",""id"":19618}]"	"{""comedian"":[92763,41499,19618,79004],""pun_expert"":[92763,19618,41499,79004],""editor"":[19618,41499,92763,79004],""translator"":[19618,79004,41499,92763]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
907	Driving a better tomorrow.	"{""source"":""claude"",""original_id"":""55276"",""pun"":""On dit 'prendre le volant de sa vie' — moi j'ai surtout pris les embouteillages du lundi matin.""}"	"{""source"":""gemini"",""original_id"":""57153"",""pun"":""Le progrès, c'est comme une voiture : si tu ne passes pas la seconde, tu restes au point mort.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Sur la route de demain, adoptez la bonne conduite.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""La bonne conduite mène à un avenir meilleur.""}"	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Sur la route de demain, adoptez la bonne conduite."",""id"":95554},{""source"":""claude"",""original_id"":""55276"",""pun"":""On dit 'prendre le volant de sa vie' — moi j'ai surtout pris les embouteillages du lundi matin."",""id"":44689},{""source"":""gpt_single"",""original_id"":"""",""pun"":""La bonne conduite mène à un avenir meilleur."",""id"":49451},{""source"":""gemini"",""original_id"":""57153"",""pun"":""Le progrès, c'est comme une voiture : si tu ne passes pas la seconde, tu restes au point mort."",""id"":73569}]"	"{""comedian"":[44689,73569,95554,49451],""pun_expert"":[73569,95554,49451,44689],""editor"":[95554,49451,73569,44689],""translator"":[95554,49451,73569,44689]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
908	Driving on so many turnpikes was taking its toll.	"{""source"":""claude"",""original_id"":""56207"",""pun"":""L'autoroute m'a coûté une fortune. Décidément, le chemin du succès est à péage.""}"	"{""source"":""gemini"",""original_id"":""76691"",""pun"":""À force de prendre l'autoroute, j'ai fini par perdre la carte.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""À force d'enchaîner les péages, j'ai fini par en faire les frais.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Tous ces péages, à la longue, ça finit par se payer.""}"	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Tous ces péages, à la longue, ça finit par se payer."",""id"":25680},{""source"":""gemini"",""original_id"":""76691"",""pun"":""À force de prendre l'autoroute, j'ai fini par perdre la carte."",""id"":85477},{""source"":""claude"",""original_id"":""56207"",""pun"":""L'autoroute m'a coûté une fortune. Décidément, le chemin du succès est à péage."",""id"":33870},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""À force d'enchaîner les péages, j'ai fini par en faire les frais."",""id"":25385}]"	"{""comedian"":[85477,25385,25680,33870],""pun_expert"":[25385,85477,25680,33870],""editor"":[25385,25680,85477,33870],""translator"":[25385,25680,85477,33870]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
909	Driving with one headlight isn't very bright.	"{""source"":""claude"",""original_id"":""31255"",""pun"":""Conduire avec un seul phare, ce n'est pas très éclairé.""}"	"{""source"":""gemini"",""original_id"":""90329"",""pun"":""Un électricien qui oublie de s'éclairer, c'est un comble : il n'est pas très au courant.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Conduire avec un seul phare, ce n'est pas très brillant.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Conduire avec un seul phare, ce n’est pas très brillant.""}"	"[{""source"":""gemini"",""original_id"":""90329"",""pun"":""Un électricien qui oublie de s'éclairer, c'est un comble : il n'est pas très au courant."",""id"":38059},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Conduire avec un seul phare, ce n’est pas très brillant."",""id"":63230},{""source"":""claude"",""original_id"":""31255"",""pun"":""Conduire avec un seul phare, ce n'est pas très éclairé."",""id"":58082},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Conduire avec un seul phare, ce n'est pas très brillant."",""id"":45846}]"	"{""comedian"":[38059,63230,45846,58082],""pun_expert"":[38059,63230,45846,58082],""editor"":[38059,63230,45846,58082],""translator"":[63230,45846,58082,38059]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
910	Dry cleaners are often pressed for time.	"{""source"":""claude"",""original_id"":""19632"",""pun"":""Le pressing est toujours sous pression.""}"	"{""source"":""gemini"",""original_id"":""28828"",""pun"":""Les employés du pressing travaillent toujours sous pression.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Au pressing, on travaille souvent sous pression.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Au pressing, les vêtements sont pressés, et le patron aussi.""}"	"[{""source"":""claude"",""original_id"":""19632"",""pun"":""Le pressing est toujours sous pression."",""id"":51662},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Au pressing, on travaille souvent sous pression."",""id"":52764},{""source"":""gemini"",""original_id"":""28828"",""pun"":""Les employés du pressing travaillent toujours sous pression."",""id"":94268},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Au pressing, les vêtements sont pressés, et le patron aussi."",""id"":64743}]"	"{""comedian"":[64743,52764,51662,94268],""pun_expert"":[64743,51662,52764,94268],""editor"":[52764,94268,64743,51662],""translator"":[64743,52764,51662,94268]}"		gemini_pro	google/gemini-3.1-pro-preview	discriminator_run2_v2
