id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
2001	Maxximum style.				Maxximum	homophonic	['maximum', 'utmost', 'greatest', 'supreme', 'highest']	['Max', 'Maximilian', 'brand name', 'proper noun']
2002	May the 4th be with you.				4th	homophonic	['fourth', 'ordinal number four', 'position after third']	['force', 'power', 'energy', 'strength']
2003	Meet me at the clothes line. That's where I hang out!				hang out	homographic	['suspend', 'drape', 'air-dry', 'peg']	['loiter', 'socialize', 'relax', 'spend time']
2004	Mess with me... and I'll make you cough it all up!				cough	homographic	['expel air', 'hack', 'clearing the throat']	['pay up', 'hand over', 'surrender money', 'relinquish']
2005	Mickey Mouse gives some people Disney spells.				spells	homographic	['incantations', 'charms', 'magic', 'hexes']	['dizzy spells', 'lightheadedness', 'faintness', 'periods of illness']
2006	Midwives don't like to wear breeches.				breeches	homophonic	['trousers', 'pants', 'knickerbockers', 'britches']	['breach', 'breach birth', 'fetal presentation', 'malpresentation']
2007	Miles of smiles!				Miles	homographic	['distance', 'furlongs', 'leagues', 'unit of measurement']	['quantities', 'large amounts', 'great extent', 'abundance']
2008	Mine safety is riddled with legal pitfalls.				pitfalls	homographic	['hazards', 'dangers', 'potential problems', 'snags']	['holes in the ground', 'excavations', 'shafts', 'traps']
2009	Mirrors can serve many useful purposes, on reflection.				reflection	homographic	['consideration', 'thought', 'deliberation', 'contemplation', 'mulling over']	['mirror image', 'reversed likeness', 'specular image', 'echo', 'glint']
2010	Miss May, I think it's high time you went shopping for a better excuse. (silence) Oh? Excuses not on sale today?				sale	homophonic	['discounted', 'clearance', 'promotion', 'on offer']	['sail', 'navigation', 'voyage', 'travel by water']
2011	Missionaries like open hooded cars because they are convertible.				convertible	homographic	['a car with a folding roof', 'cabriolet', 'open-top vehicle']	['able to be changed in belief', 'proselytizable', 'reformable']
2012	Mobil 1. The oil that's changing oil.				changing	homographic	['transforming', 'innovating', 'revolutionizing']	['replacing', 'exchanging', 'draining and refilling']
2013	Modern fashion designs are often presented with tongue in chic.				chic	homophonic	['cheek', 'jowl', 'side of the face']	['chic', 'fashionable', 'stylish', 'elegant', 'trendy']
2014	Modiano, like an open book.				book	homographic	['tome', 'volume', 'novel', 'publication']	['transparent', 'uncomplicated', 'easily understood', 'candid person']
2015	Molecules boiling points vary to some degree.				degree	homographic	['unit of temperature', 'measurement', 'graduation', 'increment']	['extent', 'amount', 'level', 'measure', 'proportion']
2016	Money doesn't grow on sprees.				sprees	homophonic	['trees', 'plants', 'growth', 'foliage']	['binges', 'outpourings', 'extravagances', 'revels']
2017	Money launderers are filthy rich!				filthy	homographic	['dirty', 'grimy', 'soiled', 'unwashed']	['extremely', 'excessively', 'obscene', 'very']
2018	More truck for your buck.				buck	homographic	['dollar', 'money', 'currency']	['value', 'utility', 'standard', 'male deer']
2019	Morticians make you feel dead gorgeous.				dead	homographic	['deceased', 'lifeless', 'expired', 'departed']	['extremely', 'very', 'completely', 'absolutely']
2020	Most Manchester United fans will only drink tea because they have all the cups.				cups	homographic	['vessels', 'mugs', 'teacups', 'goblets']	['trophies', 'awards', 'championships', 'titles']
2021	Most hunters are nice because they're such deer people.				deer	homophonic	['buck', 'doe', 'venison', 'ruminant']	['dear', 'beloved', 'precious', 'kind', 'darling']
2022	Most males in a men's room are stand-up guys.				stand-up	homographic	['erect', 'upright', 'vertical', 'standing']	['honest', 'reliable', 'principled', 'trustworthy', 'honorable']
2023	Most rules of thumb suck.				thumb	homographic	['heuristic', 'principle', 'general law', 'method']	['digit', 'pollex', 'finger', 'opposable appendage']
2024	Most samurai refused to shave. They were bushi.				bushi	homophonic	['bushy', 'shaggy', 'unshaven', 'thick', 'hairy']	['bushi', 'samurai', 'warrior', 'Japanese fighter', 'knight']
2025	Most tea drinkers will not socialize with a bad element at work because it is just not their cup of tea.				cup of tea	homographic	['beverage', 'steeped drink', 'hot infusion']	['preference', 'inclination', 'interest', 'liking']
2026	"Mr. Coffee returns from Soviet Russia: ""I have seen the future and it perks"""				perks	homographic	['brews', 'percolates', 'filters']	['benefits', 'advantages', 'improves', 'brightens']
2027	Ms. Earhart's loss to aviation could never be ameliorated.				ameliorated	homophonic	['improved', 'bettered', 'enhanced']	['Amelia rated', 'ranked Amelia', 'evaluated Amelia Earhart']
2028	"Ms. von Karma's logic is perfect. There is no way for you to poke a hole in it. (It looks like I've found the ""hole"" I was looking for!)"				hole	homographic	['flaw', 'logical gap', 'inconsistency', 'error', 'weakness']	['opening', 'perforation', 'void', 'gap', 'aperture']
2029	Murder with knives is very messy, and I suggest not taking a stab at it.				stab	homographic	['thrust', 'puncture', 'pierce', 'knife wound']	['attempt', 'try', 'endeavor', 'effort']
2030	Musical composers can use lots of Note paper.				Note	homographic	['musical tone', 'pitch', 'semibreve', 'quaver']	['written record', 'memo', 'message', 'notation']
2031	Musical mechanics always sing in parts.				parts	homographic	['melodies', 'harmonies', 'voices', 'sections']	['components', 'pieces', 'spares', 'fittings']
2032	Musicians in bed use sheet music.				sheet	homographic	['bedsheet', 'linen', 'bedclothes', 'bedding']	['score', 'notation', 'manuscript', 'composition']
