id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr
2001	Maxximum style.				Maxximum	homophonic	['maximum', 'utmost', 'greatest', 'supreme', 'highest']	['Max', 'Maximilian', 'brand name', 'proper noun']	Maxximum	['maximum', 'le plus grand', 'suprême', 'le plus élevé']	['Max', 'Maximilien', 'nom de marque', 'nom propre']
2002	May the 4th be with you.				4th	homophonic	['fourth', 'ordinal number four', 'position after third']	['force', 'power', 'energy', 'strength']	force	['quatrième', 'nombre ordinal quatre', 'position après le troisième']	['force', 'puissance', 'énergie', 'vigueur']
2003	Meet me at the clothes line. That's where I hang out!				hang out	homographic	['suspend', 'drape', 'air-dry', 'peg']	['loiter', 'socialize', 'relax', 'spend time']	trainer	['suspendre', 'étendre', 'sécher', 'accrocher']	['traîner', 'fréquenter', 'se détendre', 'passer du temps']
2004	Mess with me... and I'll make you cough it all up!				cough	homographic	['expel air', 'hack', 'clearing the throat']	['pay up', 'hand over', 'surrender money', 'relinquish']	tousser	"[""expulser de l'air"", 'toussailler', 'se racler la gorge']"	"['passer à la caisse', ""cracher l'argent"", ""céder de l'argent"", 'renoncer à']"
2005	Mickey Mouse gives some people Disney spells.				spells	homographic	['incantations', 'charms', 'magic', 'hexes']	['dizzy spells', 'lightheadedness', 'faintness', 'periods of illness']	sorts	['incantations', 'charmes', 'magie', 'maléfices']	['étourdissements', 'vertiges', 'malaises', 'périodes de maladie']
2006	Midwives don't like to wear breeches.				breeches	homophonic	['trousers', 'pants', 'knickerbockers', 'britches']	['breach', 'breach birth', 'fetal presentation', 'malpresentation']	culotte	['pantalons', 'pantalons courts', 'knickerbockers', 'culottes']	['siège', 'accouchement par le siège', 'présentation fœtale', 'malposition']
2007	Miles of smiles!				Miles	homographic	['distance', 'furlongs', 'leagues', 'unit of measurement']	['quantities', 'large amounts', 'great extent', 'abundance']	Miles	['distance', 'furlongs', 'lieues', 'unité de mesure']	['quantités', 'grandes quantités', 'grande étendue', 'abondance']
2008	Mine safety is riddled with legal pitfalls.				pitfalls	homographic	['hazards', 'dangers', 'potential problems', 'snags']	['holes in the ground', 'excavations', 'shafts', 'traps']	pièges	['hasards', 'dangers', 'problèmes potentiels', 'obstacles']	['trous dans le sol', 'excavations', 'puits', 'trappes']
2009	Mirrors can serve many useful purposes, on reflection.				reflection	homographic	['consideration', 'thought', 'deliberation', 'contemplation', 'mulling over']	['mirror image', 'reversed likeness', 'specular image', 'echo', 'glint']	réflexion	['considération', 'pensée', 'délibération', 'contemplation', 'méditation']	['image miroir', 'reproduction inversée', 'image spéculaire', 'écho', 'reflet']
2010	Miss May, I think it's high time you went shopping for a better excuse. (silence) Oh? Excuses not on sale today?				sale	homophonic	['discounted', 'clearance', 'promotion', 'on offer']	['sail', 'navigation', 'voyage', 'travel by water']	solde	['en promotion', 'déstockage', 'réduction', 'en offre']	"['voile', 'navigation', 'voyage', ""voyage par l'eau""]"
