id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr
401	A play, based on billiards, started right on cue.				cue	homographic	['prompt', 'signal', 'reminder', 'nod']	['billiards stick', 'pool stick', 'rod', 'tapered stick']	queue	['réplique', 'signal', 'rappel', 'signe de tête']	['queue de billard', 'canne de billard', 'tige', 'bâton effilé']
402	A plumber doesn't die, he just gets flushed away.				flushed	homographic	['washed down the toilet', 'rinsed', 'cleansed with water']	['exhausted', 'drained', 'washed up', 'finished']	vidé	"['évacué dans les toilettes', 'rincé', ""nettoyé à l'eau""]"	['épuisé', 'drainé', 'lessivé', 'fini']
403	A police dog is often the scenter of a drug arrest.				scenter	homophonic	['center', 'middle', 'focal point', 'hub', 'core']	['scenter', 'sniffer', 'tracker', 'detector', 'nose']	scenter	['centre', 'milieu', 'point focal', 'plaque tournante', 'noyau']	['celui qui flaire', 'renifleur', 'traqueur', 'détecteur', 'nez']
404	A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.				charged	homographic	['accused', 'prosecuted', 'indicted', 'arraigned']	['energized', 'powered', 'electrified', 'reloaded']	chargé	['accusé', 'poursuivi', 'inculpé', 'traduit en justice']	['énergisé', 'alimenté', 'électrifié', 'rechargé']
405	A politician decided to resign on the day of an eclipse because it was a dark day.				dark	homographic	['unlit', 'shadowy', 'obscured', 'absence of light']	['gloomy', 'somber', 'unfortunate', 'troubling']	sombre	['non éclairé', 'ténébreux', 'obscurci', 'absence de lumière']	['lugubre', 'maussade', 'malheureux', 'troublant']
406	"A politician who had been an astronomer was always saying ""no comet""."				comet	homophonic	['celestial body', 'meteoroid', 'shooting star']	['comment', 'remark', 'statement', 'no comment']	comète	['corps céleste', 'météoroïde', 'étoile filante']	['comment', 'remarque', 'déclaration', 'sans commentaire']
407	A politician with a bad back needs lots of support.				support	homographic	['structural reinforcement', 'physical bracing', 'lumbar assistance']	['political endorsement', 'voter approval', 'public backing']	soutien	['renfort structurel', 'contreventement physique', 'assistance lombaire']	['soutien politique', 'approbation des électeurs', 'appui public']
408	A pop singer bought a new house for a song.				song	homographic	['very cheap price', 'bargain', 'pittance']	['musical composition', 'melody', 'vocal track']	chant	['prix dérisoire', 'bonne affaire', 'misère']	['composition musicale', 'mélodie', 'piste vocale']
409	A practical Czech is considered to be Praguematic.				Praguematic	homophonic	['Prague', 'Czech capital', 'Bohemian City']	['pragmatic', 'practical', 'realistic', 'sensible', 'expedient']	Praguematique	['Prague', 'Capitale tchèque', 'Ville de Bohême']	['pragmatique', 'pratique', 'réaliste', 'sensé', 'opportun']
410	A professor without a pointer may find that his lecture is pointless.				pointless	homographic	['lacking a sharp tip', 'blunt', 'unpointed']	['meaningless', 'futile', 'purposeless', 'irrelevant']	inutile	['dépourvu de pointe', 'émoussé', 'sans pointe']	['insensé', 'futile', 'sans but', 'non pertinent']
411	A psychiatrist on a hike fell into a depression.				depression	homographic	['melancholy', 'sadness', 'unhappiness', 'despair']	['hollow', 'basin', 'dip', 'sinkhole', 'indentation']	dépression	['mélancolie', 'tristesse', 'malheur', 'désespoir']	['creux', 'bassin', 'affaissement', 'doline', 'indentation']
412	A pun is its own reword.				reword	homophonic	['reward', 'recompense', 'prize', 'recognition']	['rephrase', 'wordplay', 'paraphrase', 'restatement']	reformuler	['récompense', 'récompense', 'prix', 'reconnaissance']	['reformuler', 'jeu de mots', 'paraphrase', 'reprise']
413	A quarter-acre of undeveloped land may not seem like much to some people, but to me it's a lot.				lot	homographic	['a large amount', 'a great deal', 'much']	['plot of land', 'parcel', 'tract', 'acreage']	lot	['une grande quantité', 'beaucoup', 'énormément']	['parcelle de terrain', 'lotissement', 'terrain', 'superficie']
414	A racehorse's life is always on track.				track	homographic	['path', 'course', 'circuit', 'circular path']	['intended direction', 'schedule', 'proper course', 'correct order']	piste	['chemin', 'parcours', 'circuit', 'sentier circulaire']	['direction prévue', 'programme', 'bonne voie', 'ordre correct']
415	A racer who was also a golfer really knew how to drive.				drive	homographic	['operate a vehicle', 'steer', 'pilot', 'handle a car']	['tee off', 'golf shot', 'hit the ball long', 'strike from the tee']	conduire	['opérer un véhicule', 'diriger', 'piloter', 'manier une voiture']	['faire le premier coup', 'coup de golf', 'frapper la balle loin', 'frapper depuis le tee']
416	"A reformed arsonist was in confession. He began,"" Bless me Father for I have singed."""				singed	homophonic	['sinned', 'transgressed', 'erred', 'trespassed']	['singed', 'burned', 'scorched', 'charred']	singé	['péché', 'transgressé', 'erré', 'trépassé']	['roussi', 'brûlé', 'échaudé', 'carbonisé']
