id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr
2901	That makes 144, he said, grossly.				grossly	homographic	['in total', 'by the gross', 'twelve dozen']	['coarsely', 'rudely', 'vulgetly', 'indecently']	grossièrement	['au total', 'par grosse', 'douze douzaines']	['grossièrement', 'impoliment', 'vulgairement', 'indécemment']
2902	That new mystery novel has a killer start to it.				killer	homographic	['excellent', 'impressive', 'exciting', 'remarkable']	['murderous', 'lethal', 'deadly', 'homicidal']	tueur	['excellent', 'impressionnant', 'excitant', 'remarquable']	['meurtrier', 'létal', 'mortel', 'homicide']
2903	That really nice fellow works in a clothing factory sewing zippers on jeans. That is good. He wouldn't hurt a fly.				fly	homographic	['insect', 'pest', 'dipteran']	['zipper', 'fastener', 'opening']	mouche	['insecte', 'nuisible', 'diptère']	['braguette', 'fermeture', 'ouverture']
2904	That soil scientist always travels by himself. He's a loam ranger.				loam	homophonic	['soil', 'earth', 'clay', 'dirt']	['lone', 'solitary', 'single', 'independent']	loam	['sol', 'terre', 'argile', 'saleté']	['seul', 'solitaire', 'unique', 'indépendant']
2905	That the obstetrician's services were needed on the train was an accident of berth.				berth	homophonic	['bunk', 'sleeping compartment', 'mooring', 'berth']	['birth', 'delivery', 'childbirth', 'nativity']	couchette	['lit superposé', 'compartiment-couchettes', 'amarrage', 'place de port']	['naissance', 'accouchement', 'mise au monde', 'nativité']
2906	That's a cool chair. Yeah, I know, it rocks.				rocks	homographic	['tilts', 'sways', 'oscillates', 'moves back and forth']	['excellent', 'impressive', 'great', 'awesome']	déchire	"[""s'incline"", 'balance', 'oscille', 'va et vient']"	['excellent', 'impressionnant', 'génial', 'formidable']
2907	That's no beagle; that's a mongrel, he muttered.				mongrel	homophonic	['mutt', 'mixed-breed dog', 'crossbreed']	['my girl', 'ma girl', 'mon girl']	bâtard	['quetard', 'chien de race mêlée', 'croisé']	['ma meuf', 'ma fille', 'ma go']
2908	"""That's the reason they're called lessons,"" the Gryphon remarked: ""because they lessen from day to day."""				lessons	homophonic	['lessons', 'classes', 'instruction', 'lectures', 'schoolwork']	['lessen', 'decrease', 'diminish', 'shrink', 'reduce']	leçons	['leçons', 'classes', 'instruction', 'conférences', 'travail scolaire']	['diminuer', 'décroître', 'amoindrir', 'rétrécir', 'réduire']
2909	That's the seventh dip, Namaan said cleanly.				cleanly	homographic	['purely', 'spotlessly', 'immaculately']	['distinctly', 'clearly', 'precisely']	proprement	['purement', 'sans tache', 'immaculément']	['distinctement', 'clairement', 'précisément']
2910	That's the third time my teacher changed my grade, he remarked.				remarked	homographic	['commented', 'stated', 'uttered', 'observed']	['re-graded', 're-marked', 'evaluated again', 'scored again']	remarqué	['commenté', 'déclaré', 'prononcé', 'observé']	['re-noté', 're-corrigé', 'évalué à nouveau', 'noté à nouveau']
2911	That, my dear Algy, is the whole truth pure and simple. Algernon: The truth is rarely pure and never simple. Modern life would be very tedious if it were either, and modern literature a complete impossibility!				simple	homographic	['uncomplicated', 'straightforward', 'easy', 'plain']	['foolish', 'ignorant', 'gullible', 'naive']	simple	['simple', 'facile', 'direct', 'uni']	"[""simple d'esprit"", 'ignorant', 'credule', 'naif']"
