id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr
2501	"One leftover said to another ""foiled again."""				foiled	homographic	['wrapped in aluminum foil', 'covered', 'packaged']	['thwarted', 'prevented', 'frustrated', 'defeated']	contrecarré	"[""enveloppé dans du papier d'aluminium"", 'couvert', 'emballé']"	['déjoué', 'empêché', 'frustré', 'vaincu']
2502	One minute I'm sure I want to buy a motorbike, the next minute I'm sure I don't want to. It's a vicious cycle.				cycle	homographic	['recurring series', 'loop', 'repetition', 'vicious circle']	['motorcycle', 'motorbike', 'bicycle', 'vehicle']	cycle	['série récurrente', 'boucle', 'répétition', 'cercle vicieux']	['moto', 'motocyclette', 'bicyclette', 'véhicule']
2503	One night a banking tycoon fell overboard from his yacht. He was saved because he could float a loan.				float	homographic	['buoyancy', 'staying atop water', 'drifting', 'gliding']	['arrange credit', 'issue a loan', 'finance', 'offer a debt instrument']	flotter	"['flottabilité', ""rester à la surface de l'eau"", 'dériver', 'glisser']"	['organiser un crédit', 'émettre un prêt', 'financer', 'offrir un titre de créance']
2504	One of the joys of being a lightweight is that commuting by wind is a breeze!				breeze	homographic	['light wind', 'zephyr', 'gentle gust', 'air current']	['easy task', 'cinch', 'effortless', 'piece of cake']	brise	"['vent léger', 'zéphyr', 'rafale douce', ""courant d'air""]"	"['tâche facile', ""un jeu d'enfant"", 'sans effort', 'simple comme bonjour']"
2505	One of the reasons more politicians should be drinking this hot beverage is because it will give them honest-TEA.				honest-TEA	homophonic	['sincerity', 'truthfulness', 'integrity', 'honesty']	['tea', 'beverage', 'infusion', 'drink']	honnê-THÉ	['sincérité', 'franchise', 'intégrité', 'honnêteté']	['thé', 'boisson', 'infusion', 'breuvage']
2506	One of the tires just blew out, he said sparingly.				sparingly	homographic	['frugally', 'economically', 'moderately', 'in small quantities']	['using a spare tire', 'with a backup', 'relying on a spare']	avec parcimonie	['frugalement', 'économiquement', 'modérément', 'en petites quantités']	['en utilisant un pneu de rechange', 'avec une roue de secours', 'en comptant sur une pièce de rechange']
2507	One of these new shoes isn't right.				right	homographic	['correct', 'accurate', 'proper']	['dexter', 'right-hand side', 'opposite of left']	droit	['correct', 'exact', 'adéquat']	['dextre', 'côté droit', 'opposé de gauche']
2508	"One palm tree said to another ""let's have a date."""				date	homographic	['social engagement', 'appointment', 'romantic meeting', 'rendezvous']	['stone fruit', 'drupe', 'palm fruit', 'phoenix dactylifera']	datte	['engagement social', 'rendez-vous', 'rencontre romantique', 'rendez-vous amoureux']	['fruit à noyau', 'drupe', 'fruit du palmier', 'phoenix dactylifera']
2509	"One palm tree said to another ""let's have a date."""				date	homographic	['social outing', 'romantic appointment', 'rendezvous']	['fruit', 'stone fruit', 'drupe']	datte	['rencontre sociale', 'rendez-vous galant', 'rendez-vous']	['fruit', 'fruit à noyau', 'drupe']
2510	One reason many tea drinkers get in trouble at the clubs is because they tend to be very naught-TEA.				naught-TEA	homophonic	['tea', 'brew', 'beverage', 'infusion']	['naughty', 'disobedient', 'mischievous', 'bad']	espiè-THÉ	['thé', 'infusion', 'boisson', 'breuvage']	['espiègle', 'désobéissant', 'malicieux', 'méchant']
