id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr
3501	To stop snow from entering your mouth in a blizzard you should grit your teeth!				grit	homographic	['clench', 'grind', 'clamp']	['sand', 'gravel', 'sediment', 'anti-slip material']	cran	['serrer', 'grincer', 'bloquer']	['sable', 'gravier', 'sédiment', 'matériau antidérapant']
3502	To teach someone how to build a compass you have to be good at giving directions.				directions	homographic	['instructions', 'guidance', 'explanations']	['cardinal points', 'orientations', 'bearings']	directions	['instructions', 'conseils', 'explications']	['points cardinaux', 'orientations', 'repères']
3503	To use a computer to prospect for gold, you need to downlode.				downlode	homophonic	['download', 'transfer', 'retrieve']	['lode', 'vein', 'deposit', 'seam']	télé-veine	['télécharger', 'transférer', 'récupérer']	['filon', 'veine', 'gisement', 'veine de minerai']
3504	To win a pavement construction contract your company has to be able to make the grade.				grade	homographic	['standard', 'quality', 'level', 'benchmark']	['leveling', 'slope', 'incline', 'gradient']	grade	['norme', 'qualité', 'niveau', 'référence']	['nivellement', 'pente', 'inclinaison', 'gradient']
3505	To write with a broken pencil is pointless.				pointless	homographic	['unsharpened', 'blunt', 'dull', 'without a tip']	['futile', 'useless', 'meaningless', 'senseless', 'purposeless']	inutile	['non taillé', 'émoussé', 'terne', 'sans pointe']	['futile', 'vain', 'insensé', 'absurde', 'sans but']
3506	"Today I saw an ad that said ""radio for sale, $1, volume is stuck at max level"". I thought: ""I just can't turn that down."""				turn down	homographic	['reject', 'decline', 'refuse', 'pass up']	['lower the volume', 'decrease the intensity', 'adjust to a lower level']	baisser	['rejeter', 'décliner', 'refuser', 'délaisser']	"['baisser le volume', ""diminuer l'intensité"", 'ajuster à un niveau inférieur']"
3507	Today a truck hit my car. I wasn't hurt but I got the freight of my life.				freight	homophonic	['cargo', 'load', 'shipment', 'goods', 'transport']	['fright', 'scare', 'terror', 'shock', 'alarm']	fret	['cargaison', 'chargement', 'expédition', 'marchandises', 'transport']	['effroi', 'peur', 'terreur', 'choc', 'alarme']
3508	"Today, my friend asked ""Can I have a book, Mark?"" We are friends from 2 years and he still doesn't know my name is John."				Mark	homographic	['bookmark', 'placeholder', 'indicator', 'tag']	['Marcus', 'proper noun', 'name', 'identity']	Marque	['signet', 'repère', 'indicateur', 'étiquette']	['Marc', 'nom propre', 'prénom', 'identité']
3509	"Today, my son asked ""Can I have a book mark?"" and I burst into tears. 11 years old and he still doesn't know my name is Brian."				bookmark	homophonic	['page marker', 'placeholder', 'book-mark']	['book Mark', 'reserve Mark', 'Mark']	marque-page	['signet', 'repère de page', 'marque-page']	['livre Mark', 'réserve Mark', 'Mark']
3510	he Hodgkinson lets the lazy dogs loose				Hodgkinson	homophonic	['proper name', 'surname', 'family name']	['hodgepodge', 'hotchkiss', 'hotchpotch', 'dogs', 'canines']	Hodgkinson	['nom propre', 'nom de famille', 'patronyme']	['mélange', 'fatras', 'hochepot', 'chiens', 'canidés']
