id_en	shuffled_candidates_json	text_clean	discriminator_run1_json	discriminator_run1_error	discriminator_run1_model	discriminator_run1_model_id	discriminator_run1_version
1001	"[{""id"":20599,""pun"":""Le planning du cours de yoga ? Très variable. Comme le prof dit : 'Je reste ouvert… et les hanches aussi.'"",""run"":""claude""},{""id"":95618,""pun"":""Les profs de yoga n'ont pas d'horaires fixes — ils sont très souples sur la question."",""run"":""claude""},{""id"":80362,""pun"":""Mon prof de yoga est très adaptable : il peut faire le cours à 7h, à midi ou à minuit. Et aussi le grand écart."",""run"":""claude""},{""id"":61307,""pun"":""J'ai demandé à mon prof de yoga s'il pouvait changer l'heure du cours. Il a dit oui — il est élastique sur les horaires."",""run"":""claude""},{""id"":45921,""pun"":""Pourquoi les profs de yoga font-ils de bons négociateurs ? Parce qu'ils ne sont jamais rigides."",""run"":""claude""},{""id"":62164,""pun"":""Mon prof de yoga ne se casse jamais la tête pour les horaires. Par contre, les genoux, c'est une autre histoire."",""run"":""claude""},{""id"":33742,""pun"":""Le prof de yoga n'a aucun problème avec les emplois du temps variables — il a l'habitude de se plier en quatre."",""run"":""claude""},{""id"":22452,""pun"":""Mon prof de yoga est très conciliant sur les horaires. Il faut dire qu'il a une grande capacité à se plier aux demandes."",""run"":""claude""},{""id"":61532,""pun"":""Mon prof de yoga refuse de donner un planning précis. Il dit qu'il est trop souple pour ça."",""run"":""claude""},{""id"":85909,""pun"":""Mon prof de yoga accepte tous les changements d'horaire. Normal, il est dans une bonne posture pour ça."",""run"":""claude""},{""id"":11402,""pun"":""Les profs de yoga sont les meilleurs gestionnaires du monde : ils savent se montrer souples sans jamais perdre l'équilibre."",""run"":""claude""},{""id"":53389,""pun"":""Le prof de yoga n'a pas d'emploi du temps — il préfère rester dans le flow… et dans la posture."",""run"":""claude""}]"	For class schedules Yoga instructors are flexible.	"{""comedian"":[62164,85909,33742,61532,22452],""pun_expert"":[61532,95618,33742,22452,85909],""editor"":[95618,61532,85909,33742,22452],""translator"":[95618,61532,85909,33742,22452]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
1002	"[{""id"":20050,""pun"":""Je notais chaque vinyle dans un registre. Ma femme disait que je passais ma vie à tourner en rond — elle avait raison, c'était du 45 tours."",""run"":""claude""},{""id"":60250,""pun"":""Je collectionnais les vinyles et je tout consignais. On dit que j'avais la tête dans les sillons — et les pieds dans les archives."",""run"":""claude""},{""id"":42944,""pun"":""Chaque 45 tours avait sa fiche. J'étais tellement organisé que mes disques étaient mieux documentés que mes impôts."",""run"":""claude""},{""id"":15031,""pun"":""Je notais chaque 45 tours acheté dans un grand livre. Ma collection était en bonne veine… et en bon vinyle."",""run"":""claude""},{""id"":32993,""pun"":""Pour chaque 45 tours, je notais l'artiste et le titre. Mes amis disaient que j'avais le sillon de la documentation."",""run"":""claude""},{""id"":92569,""pun"":""Pour chaque 45 tours, j'écrivais le titre et l'artiste afin de tenir mes archives. Bref, j'avais le phonographe dans le sang et le grand livre dans la main."",""run"":""claude""},{""id"":12482,""pun"":""Pour chaque vinyle que j'achetais, je gardais une trace écrite. On peut dire que j'avais le sens du registre."",""run"":""claude""},{""id"":96515,""pun"":""Je collectionnais les disques et je tenais mes archives avec soin. C'était pas vain — c'était en veine de vinyle !"",""run"":""claude""},{""id"":44997,""pun"":""Je notais chaque 45 tours sur une liste pour garder mes disques. Finalement, la seule chose qui tournait rond chez moi, c'était mon classement."",""run"":""claude""},{""id"":59365,""pun"":""Je consignais chaque disque acheté. C'était une démarche vaine ? Non, une démarche en veine — mes archives valent de l'or !"",""run"":""claude""},{""id"":15928,""pun"":""Je collectionnais les 45 tours et je notais tout dans mon registre — j'avais vraiment le disque rayé des archives !"",""run"":""claude""},{""id"":54676,""pun"":""Pour mes 45 tours, je tenais un album complet de fiches. Un album pour ranger les albums — logique, non ?"",""run"":""claude""}]"	For every 45 I collected, I would write down the song and the artist so I could keep records.	"{""comedian"":[54676,44997,20050,12482,15031],""pun_expert"":[12482,15031,96515,59365,20050],""editor"":[12482,54676,44997,92569,15031],""translator"":[92569,12482,44997,15031,54676]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
1003	"[{""id"":50494,""pun"":""Le premier antidouleur de l'histoire ? Les tables de la loi. Prendre deux fois par siècle, à jeun de péchés."",""run"":""claude""},{""id"":73628,""pun"":""Moïse était pharmacien : il livrait les ordonnances sur tablettes."",""run"":""claude""},{""id"":18331,""pun"":""Pour un soulagement rapide, prenez deux comprimés. Les dix commandements."",""run"":""claude""},{""id"":83782,""pun"":""Le médecin a prescrit deux pilules de morale. Moïse les avalait déjà depuis le Sinaï."",""run"":""claude""},{""id"":85513,""pun"":""Moïse : inventeur des génériques. Même principe actif que Dieu, mais sous forme de pierre."",""run"":""claude""},{""id"":51729,""pun"":""Pour soigner l'humanité, Dieu a choisi la pierre. C'est le remède à base de commandements — sans ordonnance mais gravé dans le marbre."",""run"":""claude""},{""id"":73305,""pun"":""En cas de péché aigu, prendre deux tables de la loi. Ne pas dépasser la dose prescrite par le Seigneur."",""run"":""claude""},{""id"":68156,""pun"":""Dieu a inventé le médicament préventif : dix commandements, sans effets secondaires... sauf l'enfer."",""run"":""claude""},{""id"":49044,""pun"":""Dieu n'a pas fait de pharmacie mais il a bien livré la dose : dix commandements sur dalle."",""run"":""claude""},{""id"":28210,""pun"":""Moïse : le seul prophète à avoir brisé son traitement en deux et quand même guéri une nation."",""run"":""claude""},{""id"":24517,""pun"":""Dieu a prescrit dix commandements. Posologie : une dalle matin et soir."",""run"":""claude""},{""id"":46196,""pun"":""Pour un soulagement immédiat, il suffit de deux pierres gravées. C'est la vieille ordonnance de Moïse."",""run"":""claude""}]"	For fast relief take two tablets. The ten commandments	"{""comedian"":[73628,28210,24517,73305,68156],""pun_expert"":[73628,24517,18331,73305,46196],""editor"":[73628,24517,46196,73305,18331],""translator"":[18331,73305,24517,46196,73628]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
1004	"[{""id"":45237,""pun"":""Leur succès ? Pas besoin d'une diseuse de bonne aventure — leurs vœux sont déjà dans les cartes."",""run"":""claude""},{""id"":64353,""pun"":""Chez le fabricant de cartes de vœux, chaque massage… pardon, message, vaut de l'or."",""run"":""claude""},{""id"":55900,""pun"":""Pour eux, lire l'avenir dans les cartes, c'est surtout une question de… chiffre d'affaires."",""run"":""claude""},{""id"":86594,""pun"":""Dans ce métier, le message est clair : leur fortune tient à un fil… de reliure."",""run"":""claude""},{""id"":90744,""pun"":""Pour les fabricants de cartes de vœux, nul besoin de voyante : leur tarot, c'est leur catalogue."",""run"":""claude""},{""id"":16166,""pun"":""Chez les papetiers spécialisés en cartes de vœux, l'avenir est clairement… cartographié."",""run"":""claude""},{""id"":36753,""pun"":""Ces entreprises de cartes de vœux ont tout prévu : elles ont le destin bien… sous enveloppe."",""run"":""claude""},{""id"":68911,""pun"":""Les fabricants de cartes de vœux ont de la chance : leur fortune est bien pliée en quatre."",""run"":""claude""},{""id"":12503,""pun"":""Pour une papeterie de vœux, la divination c'est simple : ils tirent les cartes… à l'unité ou en lot."",""run"":""claude""},{""id"":68196,""pun"":""Pour une société de cartes de vœux, le destin est toujours bien enveloppé."",""run"":""claude""},{""id"":67941,""pun"":""Pour les fabricants de cartes de vœux, leur destin est écrit… sur papier."",""run"":""claude""},{""id"":37961,""pun"":""Pour les fabricants de cartes de vœux, tout est dans les cartes — de tarot comme de visite."",""run"":""claude""}]"	For greeting card companies their fate is in the cards.	"{""comedian"":[36753,90744,68911,16166,37961],""pun_expert"":[90744,37961,36753,12503,16166],""editor"":[67941,68196,16166,36753,90744],""translator"":[90744,37961,36753,67941,16166]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
1005	"[{""id"":61382,""pun"":""L'insomniaque s'installe au bord du lit. Il attend. Il attend encore. Puis il lâche prise — et enfin il dort."",""run"":""claude""},{""id"":93328,""pun"":""Pour l'insomnie, dormez au bord du lit : vous plongerez dans le sommeil sans effort."",""run"":""claude""},{""id"":74626,""pun"":""Tu souffres d'insomnie ? Dors au bord du lit. Un peu de gravité et tu t'assoupiras… de gré ou de force."",""run"":""claude""},{""id"":65875,""pun"":""Pour les insomniaques, dormez au bord du lit — vous tomberez forcément dans les bras de Morphée."",""run"":""claude""},{""id"":60998,""pun"":""Pour dormir, couchez-vous au bord du lit. Tôt ou tard vous ferez une culbute… dans les rêves."",""run"":""claude""},{""id"":18438,""pun"":""Si vous n'arrivez pas à dormir, mettez-vous au bord du lit. Vous finirez par piquer du nez… ou du reste."",""run"":""claude""},{""id"":47125,""pun"":""Pour guérir l'insomnie, dormez en bord de lit. C'est la seule façon de s'en sortir… par le bas."",""run"":""claude""},{""id"":53297,""pun"":""Pour l'insomnie, essayez le bord du lit : c'est la descente assurée dans le sommeil."",""run"":""claude""},{""id"":76836,""pun"":""Contre l'insomnie, le médecin m'a dit : 'Dormez au bord du lit.' Résultat : je me suis endormi sur le coup."",""run"":""claude""},{""id"":59918,""pun"":""Contre l'insomnie, allongez-vous au bord du lit : vous vous laisserez glisser vers l'inconscient… et le parquet."",""run"":""claude""},{""id"":68587,""pun"":""Contre l'insomnie, mettez-vous au bord du lit — vous trouverez le sommeil en chute libre."",""run"":""claude""},{""id"":37858,""pun"":""Mon médecin conseille le bord du lit contre l'insomnie. J'ai essayé : j'ai décroché dès la première nuit."",""run"":""claude""}]"	For insomnia move to the edge of the bed and you'll soon drop off.	"{""comedian"":[65875,76836,68587,59918,37858],""pun_expert"":[65875,68587,59918,76836,37858],""editor"":[65875,76836,59918,68587,37858],""translator"":[65875,68587,59918,76836,37858]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
1006	"[{""id"":77690,""pun"":""Je suis allé chez le boucher. Il n'avait que du mouton. J'ai demandé autre chose — il m'a dit : 'Mouton, c'est tout !'"",""run"":""claude""},{""id"":19558,""pun"":""Pour le dîner, il a servi de l'agneau. Les invités voulaient autre chose — il a répondu : 'C'est ça ou le néant, et le néant, ça n'a pas de goût !'"",""run"":""claude""},{""id"":53840,""pun"":""Ma femme est végétarienne. Moi, je mange de l'agneau et brebis d'autre chose."",""run"":""claude""},{""id"":26522,""pun"":""Pour la viande, certains mangent de l'agneau et mouton d'autre."",""run"":""claude""},{""id"":94937,""pun"":""Il ne mange que du mouton. C'est un homme de peu — un mouton-tonaire !"",""run"":""claude""},{""id"":38852,""pun"":""Je voulais changer de viande, mais finalement j'ai pris du mouton. C'était une décision de bête à laine."",""run"":""claude""},{""id"":32385,""pun"":""Au restaurant, il commande toujours du mouton. Le serveur lui propose du veau — il répond : 'Non merci, je suis un mouton de Panurge, pas un veau de Panurge !'"",""run"":""claude""},{""id"":62913,""pun"":""Mon boucher ne vend que du mouton. Je lui ai demandé du bœuf — il a répondu : 'Brebis ou brebis pas, c'est mouton !'"",""run"":""claude""},{""id"":71518,""pun"":""Il mange du mouton tous les jours. On dit qu'il a un régime moutonone."",""run"":""claude""},{""id"":37093,""pun"":""Mon régime : de l'agneau, du mouton, et rien de plus. Mes amis appellent ça un régime zéro — moi j'appelle ça un régime brebis-zéro."",""run"":""claude""},{""id"":60075,""pun"":""Pour lui, la vie c'est l'agneau ou rien — il est moutonomane."",""run"":""claude""},{""id"":66653,""pun"":""Il ne mange que de l'agneau — pour lui, tout le reste c'est du vent. Du vent et du mouton, voilà son menu."",""run"":""claude""}]"	For meat some people eat lamb and mutton else.	"{""comedian"":[32385,62913,77690,94937,38852],""pun_expert"":[53840,26522,62913,71518,37093],""editor"":[32385,38852,77690,19558,62913],""translator"":[53840,26522,37093,62913,71518]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
1007	"[{""id"":74575,""pun"":""Pour les gens qui ne suivent pas la modernité : il existe des livres. Ils ne les lisent pas non plus, mais au moins ils les empilent joliment."",""run"":""claude""},{""id"":61778,""pun"":""Pour ceux qui ne marchent pas avec leur époque, on a inventé la marche arrière — c'est leur vitesse préférée."",""run"":""claude""},{""id"":13776,""pun"":""Pour ceux qui ne suivent pas l'époque, on a créé les montres — mais apparemment, ils ne les regardent pas non plus."",""run"":""claude""},{""id"":96464,""pun"":""Pour ceux qui ne sont pas de leur temps, on dit qu'ils sont en avance — ou en retard. Les deux sont des façons de rater le présent."",""run"":""claude""},{""id"":27789,""pun"":""Pour les gens qui ne vivent pas avec leur époque, il existe une solution : l'anachro-nisme. C'est leur religion."",""run"":""claude""},{""id"":78013,""pun"":""Pour les gens qui ne vont pas avec leur temps, il y a les calendriers — mais ils les utilisent à l'envers."",""run"":""claude""},{""id"":49787,""pun"":""Ceux qui ne vont pas avec leur génération ont un nom : les parents. Et les enfants les adorent pour ça — non."",""run"":""claude""},{""id"":54673,""pun"":""Les gens qui ne vivent pas avec leur siècle ont un avantage : ils économisent sur les abonnements Netflix."",""run"":""claude""},{""id"":96367,""pun"":""Il n'est pas dans l'ère du temps. Il est dans l'aire de jeux du passé."",""run"":""claude""},{""id"":91407,""pun"":""Ceux qui ne suivent pas leur ère ont au moins un avantage : ils ne sont jamais en retard sur eux-mêmes."",""run"":""claude""},{""id"":80516,""pun"":""Il n'est jamais dans l'air du temps. Normal — il préfère l'air du passé. Moins de pollution."",""run"":""claude""},{""id"":79550,""pun"":""Il refuse de suivre son temps. Heureusement, son temps ne le suit pas non plus — il a pris du retard."",""run"":""claude""}]"	For people who do not go with the times.	"{""comedian"":[54673,49787,80516,96367,91407],""pun_expert"":[96367,80516,27789,13776,61778],""editor"":[80516,96367,54673,91407,96464],""translator"":[96464,91407,80516,13776,61778]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
1008	"[{""id"":11158,""pun"":""Nos résultats sont si brillants qu'on met des lunettes de soleil pour lire nos bilans."",""run"":""claude""},{""id"":99437,""pun"":""Pour des résultats effervescents — attention, ça mousse sérieusement !"",""run"":""claude""},{""id"":68742,""pun"":""Notre shampoing : pour une chevelure brillante… et une douche qui pétille !"",""run"":""claude""},{""id"":11656,""pun"":""Notre équipe est jouante et brillante — elle joint l'utile à l'effervescent."",""run"":""claude""},{""id"":41095,""pun"":""Notre produit brille par ses résultats… et par son eau gazeuse offerte."",""run"":""claude""},{""id"":62698,""pun"":""Je suis friand de résultats brillants — oui, je suis un peu gazeux comme ça."",""run"":""claude""},{""id"":76813,""pun"":""Des résultats si pétillants qu'on croirait boire du champagne… mais c'est juste notre formation."",""run"":""claude""},{""id"":39028,""pun"":""Pour des résultats pétillants — et une bouche qui mousse d'admiration !"",""run"":""claude""},{""id"":54283,""pun"":""Pour un esprit pétillant, buvez de l'eau pétillante. Coïncidence ? On ne pense pas."",""run"":""claude""},{""id"":76080,""pun"":""Pour des résultats qui pétillent — même en eau plate, on fait mousser les chiffres."",""run"":""claude""},{""id"":75374,""pun"":""Avec notre méthode, vous serez brillant — même sans bulles dans le verre."",""run"":""claude""},{""id"":15368,""pun"":""Rejoignez notre club : on est brillants, pétillants, et rarement à plat."",""run"":""claude""}]"	For sparkling results.	"{""comedian"":[76813,15368,54283,76080,11158],""pun_expert"":[54283,76080,75374,15368,76813],""editor"":[76813,15368,75374,54283,11158],""translator"":[76080,76813,15368,54283,75374]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
1009	"[{""id"":54937,""pun"":""J'ai voulu passer l'été au Pays Basque pour bronzer. Finalement, la chaleur me rendait si râleur que même le soleil voulait plus me voir."",""run"":""claude""},{""id"":12873,""pun"":""Pour mes vacances, j'ai choisi le Pays Basque. Et franchement, entre le soleil et le txakoli, j'étais aux anges — ou plutôt, aux Basques."",""run"":""claude""},{""id"":58163,""pun"":""Je suis parti en vacances au Pays Basque pour fuir la chaleur parisienne. Là-bas aussi il faisait chaud. Je suis un vrai râleur sans frontières."",""run"":""claude""},{""id"":23230,""pun"":""Vacances au Pays Basque : soleil, plage, pintxos. Je me suis dit que c'était le paradis. Mais après deux jours à bronzer, j'avais plus la Basque-morale."",""run"":""claude""},{""id"":30483,""pun"":""Je suis parti au Pays Basque pour les vacances. On m'avait dit : 'tu vas te prélasser'. En vrai, je me suis surtout demandé si 'txakoli' se prononce ou si c'est juste une blague basque-ment cruelle."",""run"":""claude""},{""id"":78408,""pun"":""Je voulais bronzer tranquille au Pays Basque, mais il pleuvait sans arrêt. J'aurais dû aller en Basque-lonie... ah non, ça n'existe pas."",""run"":""claude""},{""id"":28890,""pun"":""Au Pays Basque, j'ai voulu me prélasser sur la plage. Résultat : je suis rentré basané. C'était basque-ment du bronzage naturel."",""run"":""claude""},{""id"":27483,""pun"":""Cet été, direction le Pays Basque pour bronzer. Entre la chaleur et mes coups de soleil, je suis rentré plus rouge qu'un béret basque. C'est ce qu'on appelle un bronzage local."",""run"":""claude""},{""id"":84213,""pun"":""Cet été, j'ai décidé de me la couler douce au Pays Basque. Bask-ulation de bonheur total."",""run"":""claude""},{""id"":82471,""pun"":""Pour les vacances d'été, je suis allé au Pays Basque me prélasser au soleil. Franchement, c'était basque-ment parfait."",""run"":""claude""},{""id"":47704,""pun"":""Je suis allé au Pays Basque cet été. Le soleil tapait fort, les gens râlaient... Ah non, ça c'était moi — la chaleur me rend râleur."",""run"":""claude""},{""id"":52128,""pun"":""J'ai passé mes vacances au Pays Basque à bronzer. Les gens d'ici sont vraiment chaleureux... ou alors c'est juste moi qui suis râleur quand il fait trop chaud."",""run"":""claude""}]"	For summer vacation, I decided to go to north-eastern Spain and Basque in the sunshine.	"{""comedian"":[27483,23230,12873,47704,52128],""pun_expert"":[28890,82471,23230,12873,84213],""editor"":[27483,12873,52128,47704,23230],""translator"":[12873,82471,28890,84213,23230]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
1010	"[{""id"":18925,""pun"":""Un prénom chat-peau bas !"",""run"":""claude""},{""id"":82492,""pun"":""Pour un prénom chat-rmant."",""run"":""claude""},{""id"":98127,""pun"":""Pour un prénom qui n'a pas un poil de défaut."",""run"":""claude""},{""id"":50759,""pun"":""Pour un prénom purr-fait."",""run"":""claude""},{""id"":23988,""pun"":""Un nom idéal... pour qui sait ronronner des compliments."",""run"":""claude""},{""id"":90282,""pun"":""Un prénom sans défaut... ni poil dans la main."",""run"":""claude""},{""id"":25332,""pun"":""Pour un prénom félin-fini."",""run"":""claude""},{""id"":26867,""pun"":""Pour un prénom mia-culeux."",""run"":""claude""},{""id"":80526,""pun"":""Un nom im-pec-câble... comme ses griffes."",""run"":""claude""},{""id"":53219,""pun"":""Un nom tout à fait mia-gnifique."",""run"":""claude""},{""id"":95207,""pun"":""Un nom chat-leureux... parce que la perfection, ça se fête."",""run"":""claude""},{""id"":47557,""pun"":""Pour un prénom digne d'un chat-mpion."",""run"":""claude""}]"	For that purrfect name.	"{""comedian"":[53219,26867,47557,80526,25332],""pun_expert"":[53219,26867,47557,25332,50759],""editor"":[53219,98127,23988,90282,47557],""translator"":[50759,26867,53219,25332,47557]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
