id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
en_2050	It's hard for a depressed turtle to get out of his shell.	shell	homographic	shell	shell	homographic	['carapace', 'exoskeleton', 'casing', 'hard outer covering']	['depression', 'funk', 'introversion', 'withdrawal', 'isolation', 'comfort zone']
en_2052	Old bakers never die, they just keep making lots of dough.	dough	homographic	dough	dough	homographic	['bread mixture', 'batter', 'paste', 'flour mixture']	['money', 'cash', 'currency', 'bread', 'funds', 'moola']
en_2058	Old lawyers never die they just lose their judgment.	judgment	homographic	judgment	judgment	homographic	['verdict', 'ruling', 'decision', 'sentence', 'adjudication']	['wisdom', 'discernment', 'sense', 'reasoning', 'acumen', 'perception']
en_2061	A cowboy who was also an artist could draw fast.	draw	homographic	draw	draw	homographic	['sketch', 'paint', 'illustrate', 'depict', 'render']	['pull', 'unsheathe', 'quick-draw', 'whip out']
en_2064	Marconi was not wired up about going.	wired	homographic	wired	wired	homographic	['excited', 'enthusiastic', 'energized', 'pumped up', 'keyed up']	['connected', 'linked', 'plugged in', 'cabled', 'electronically connected']
en_207	Plenty of people give the lord credit. Few give him cash.	credit	homographic	credit	credit	homographic	['praise', 'recognition', 'acknowledgment', 'honor', 'tribute', 'acclaim']	['money', 'funds', 'payment', 'financial credit', 'loan', 'currency']
en_2070	He tried to sell me glass with imperfections in it, but I saw through it.	saw	homographic	saw	through	homographic	['across', 'past', 'by way of', 'via']	['detected', 'recognized', 'understood', 'perceived', 'discerned']
en_208	Old pilots never die they just go to a higher plane.	plane	homophonic	place	plane	homophonic	['aircraft', 'airplane', 'jet', 'flying machine']	['plain', 'level', 'realm', 'dimension', 'existence']
en_2089	Are Philosophy papers graded with Marx out of ten?	marx	homophonic	marks	Marx	homophonic	['Marx', 'Karl Marx', 'philosopher', 'communist theorist']	['marks', 'grades', 'scores', 'points']
en_2093	Old coupon clippers never die, they just expire.	expire	homographic	expire	expire	homographic	['die', 'perish', 'pass away', 'decease', 'depart']	['lapse', 'become void', 'run out', 'become invalid', 'terminate']
en_2097	A basketball player couldn't control his saliva but he could sure dribble.	dribble	homographic	dribble	dribble	homographic	['salivate', 'drool', 'slobber', 'slaver']	['bounce', 'maneuver', 'control the ball', 'handle']
en_2103	The pun in the title of the play "The Importance of Being Earnest" was a Wilde idea.	wilde	homophonic	wild	Wilde	homophonic	['wild', 'crazy', 'eccentric', 'unconventional', 'outrageous', 'unrestrained']	['Oscar Wilde', 'playwright', 'author', 'dramatist', 'wit']
en_2104	Because the champion angler instructed his pupils to cast their lines where the river runs through narrow chasms, they called him the "fissure King."	fissure	homophonic	fisher	fissure	homophonic	['crack', 'crevice', 'cleft', 'chasm', 'split', 'gap', 'rift']	['fisher', 'angler', 'fisherman', 'piscator', 'rodsman']
en_2109	Old lumberjacks never die, they just pine away.	pine	homographic	pine	pine	homographic	['yearn', 'long', 'grieve', 'mourn', 'languish', 'miss']	['fir', 'spruce', 'conifer', 'evergreen', 'cedar', 'timber']
en_2111	Dermatologists often make rash statements.	rash	homographic	rash	rash	homographic	['hasty', 'impulsive', 'reckless', 'impetuous', 'careless']	['skin irritation', 'dermatitis', 'hives', 'eruption', 'lesion']
en_2117	An astronaut who fails on a weightlessness experiment must be aware of the gravity of the situation.	gravity	homographic	gravity	gravity	homographic	['weightlessness', 'gravitational pull', 'weight', 'gravitation']	['seriousness', 'importance', 'severity', 'significance']
en_2123	These bit patterns will be more readable in groups of 8, he said bitingly.	bit	homophonic	bitingly	bitingly	homophonic	['sarcastically', 'sharply', 'caustically', 'acerbically', 'cuttingly']	['byte-ingly', 'in groups of bits', 'in 8-bit chunks', 'in bytes']
en_2136	Building a cul-de-sac would be a bit of a dead-end job.	dead	homographic	dead	dead-end	homographic	['cul-de-sac', 'no-through-road', 'blind alley', 'impasse']	['pointless', 'futile', 'going nowhere', 'hopeless', 'unproductive']
en_2144	There was a guy who was fired from the orange juice factory for lack of concentration.	concentration	homophonic	concentrate	concentration	homographic	['focus', 'attention', 'diligence', 'dedication', 'effort', 'commitment']	['strength', 'density', 'purity', 'potency', 'intensity', 'richness']
en_2145	Animals that tunnel in the soil have to have an escape root.	root	homophonic	route	root	homophonic	['route', 'path', 'way', 'escape passage', 'tunnel exit', 'direction']	['root', 'underground plant part', 'rhizome', 'tuber', 'bulb']
en_215	When it got stuck in the mud my car had to be toad.	toad	homophonic	towed	toad	homophonic	['toad', 'frog', 'amphibian', 'bufo']	['towed', 'hauled', 'pulled', 'dragged', 'transported']
en_2154	The new father of quintuplets could hardly believe his own census.	census	homophonic	senses	census	homophonic	['survey', 'count', 'enumeration', 'tally', 'demographic study']	['senses', 'awareness', 'perception', 'consciousness', 'faculties', 'wits']
en_2169	What did the skeleton have for supper? Ribs.	ribs	homographic	ribs	Ribs	homographic	['bones', 'costal cartilage', 'thoracic bones', 'chest bones']	['barbecue ribs', 'spare ribs', 'pork ribs', 'grilled ribs']
en_217	If all your troubles are melting away watch out for the floods.	melting	homographic	melting	melting	homographic	['dissolving', 'liquefying', 'thawing', 'softening']	['fading', 'disappearing', 'vanishing', 'easing', 'dissipating']
en_2175	There was a report of shots fired in a local bar. The police don't know what triggered the commotion.	triggered	homographic	triggered	triggered	homographic	['fired', 'discharged', 'activated', 'set off']	['caused', 'sparked', 'provoked', 'initiated', 'incited']
en_2180	Sign at a place where you lose weight: 'Stop Look and Lessen'.	lessen	homophonic	listen	Lessen	homophonic	['reduce', 'decrease', 'diminish', 'lower', 'minimize']	['lesson', 'instruction', 'teaching', 'class', 'tutorial']
en_2181	A mathematician that couldn't stop adding up recently went incremental.	incremental	homophonic	mental	incremental	homophonic	['gradual', 'step-by-step', 'progressive', 'cumulative', 'increasing']	['in-kremental', 'went crazy', 'lost it', 'snapped', 'went mental', 'cracked up']
en_2183	Scientists allow us to see the sun in a different light.	light	homographic	light	light	homographic	['illumination', 'brightness', 'sunlight', 'radiation', 'glow']	['perspective', 'viewpoint', 'angle', 'understanding', 'context']
en_2187	Changing a tire on that crazy Houston freeway was a wrenching experience.	wrenching	homographic	wrenching	wrenching	homographic	['twisting', 'turning', 'loosening', 'tightening', 'using a wrench']	['distressing', 'painful', 'upsetting', 'gut-wrenching', 'agonizing', 'traumatic']
en_2194	It's just gold leaf, he said guiltily.	guiltily	homophonic	gilt	guiltily	homophonic	['shamefully', 'ashamedly', 'remorsefully', 'self-consciously']	['gilt-ily', 'gildedly', 'gold-covered', 'leafed in gold']
en_2197	When a problem or dilemma arises: "As plumbers say, it's not drain surgery."	drain	homophonic	brain	drain	homophonic	['sewer', 'pipe', 'channel', 'gutter', 'conduit']	['brain', 'mind', 'intellect', 'noggin']
en_2198	I like ragged margins, he said without justification.	justification	homographic	justification	justification	homographic	['reasoning', 'rationale', 'explanation', 'grounds', 'basis', 'cause']	['text alignment', 'margin alignment', 'typesetting', 'text formatting', 'flush margins']
en_2200	Doctor, doctor, I keep thinking I'm a spoon.-Sit there and don't stir. Next.	stir	homographic	stir	stir	homographic	['mix', 'agitate', 'blend', 'whisk', 'beat']	['move', 'budge', 'shift', 'rouse', 'disturb']
en_2212	I bought me some of those new paper shirts. I don't like them-they're tearable.	tearable	homophonic	terrible	tearable	homophonic	['rippable', 'tearable', 'destructible', 'fragile', 'flimsy', 'delicate']	['terrible', 'awful', 'dreadful', 'horrible', 'appalling', 'atrocious']
en_2217	I presented my case to the judge, he said briefly.	briefly	homophonic	brief	briefly	homophonic	['concisely', 'succinctly', 'shortly', 'tersely', 'in summary']	['in briefs', 'wearing underwear', 'in underpants', 'in shorts']
