id_en	shuffled_candidates_json
3801	"[{""id"":73009,""pun"":""Si tu me voles une frite, je te rends la monnaie de ta pièce de bœuf."",""run"":""gemini""},{""id"":86331,""pun"":""Négocier une frite, c'est un pari risqué : on mise tout sur le bon goût."",""run"":""gemini""},{""id"":63780,""pun"":""Partager ses frites est un acte de bravoure : c'est risquer de tomber sur un os, alors qu'il n'y a que du gras."",""run"":""gemini""},{""id"":84339,""pun"":""Le mec qui refuse de partager ses frites est un vrai sel-fih."",""run"":""gemini""},{""id"":16096,""pun"":""Un vendeur de frites qui fait faillite, c'est quelqu'un qui n'a plus une patate en poche."",""run"":""gemini""},{""id"":18136,""pun"":""Entre deux frites, il n'y a pas de compromis, seulement de la friture sur la ligne."",""run"":""gemini""},{""id"":70710,""pun"":""On ne devrait jamais se disputer pour des frites, c'est la fin des haricots mais la faim des patates."",""run"":""gemini""},{""id"":32347,""pun"":""Vouloir une frite gratuite, c'est avoir de la sauce dans les idées."",""run"":""gemini""},{""id"":40139,""pun"":""Ne me demande pas une frite, je suis déjà à découvert, j'ai frites mon budget."",""run"":""gemini""},{""id"":40227,""pun"":""Celui qui vole une frite à son ami n'est pas un vrai pote, c'est juste une petite patate."",""run"":""gemini""},{""id"":67818,""pun"":""Négocier ses frites, c'est tout un art : il faut avoir la frite pour garder la pêche."",""run"":""gemini""},{""id"":81526,""pun"":""Quand on partage ses frites, on ne compte pas ses jetons, on compte ses restes."",""run"":""gemini""}]"
3802	"[{""id"":92998,""pun"":""L'ingénieur qui a conçu le néon était radieux : il a enfin trouvé sa voie lactée."",""run"":""gemini""},{""id"":24950,""pun"":""Le vendeur de lampadaires a fait fortune, il mène une vie de château... d'eau de rose ? Non, une vie de fée (effet) d'optique."",""run"":""gemini""},{""id"":73123,""pun"":""L'homme qui a créé l'enseigne néon était au septième ciel, il voyait tout en rose."",""run"":""gemini""},{""id"":30590,""pun"":""L'inventeur de la première ampoule était une lumière, il avait toujours des idées brillantes."",""run"":""gemini""},{""id"":59160,""pun"":""L'inventeur des LED était tellement fier qu'on l'appelait Monseigneur l'Éclatant."",""run"":""gemini""},{""id"":88403,""pun"":""Un électricien qui réussit, c'est quelqu'un qui a beaucoup de jus."",""run"":""gemini""},{""id"":58295,""pun"":""Ce physicien des ondes est très fier : il a enfin trouvé sa fréquence de croisière."",""run"":""gemini""},{""id"":24869,""pun"":""Le chercheur en électricité était foudroyant de succès."",""run"":""gemini""},{""id"":13255,""pun"":""Depuis qu'il a réparé le phare, le gardien est brillant en société."",""run"":""gemini""},{""id"":79136,""pun"":""Quand il a inventé le projecteur, il a enfin pu mettre sa carrière en lumière."",""run"":""gemini""},{""id"":15272,""pun"":""Le spécialiste du laser ne manque jamais de piquant, ses réparties sont toujours un faisceau de vérité."",""run"":""gemini""},{""id"":46816,""pun"":""Il était si fier de sa nouvelle lampe qu'il en est devenu incandescent."",""run"":""gemini""}]"
3803	"[{""id"":94461,""pun"":""L'inventeur du néon était tellement fier de lui qu'il en rayonnait de bonheur."",""run"":""gemini""},{""id"":57987,""pun"":""En inventant le premier phare, le gardien a enfin vu le bout du tunnel."",""run"":""gemini""},{""id"":70556,""pun"":""L'inventeur de la lampe à basse consommation a eu une idée brillante : il s'est senti tout de suite plus léger."",""run"":""gemini""},{""id"":81748,""pun"":""Pour l'inventeur de la diode, l'avenir s'annonçait enfin radieux."",""run"":""gemini""},{""id"":31893,""pun"":""Quand l'inventeur a vu ses premières ampoules briller, il a eu un flash."",""run"":""gemini""},{""id"":80534,""pun"":""L'homme qui a créé le filament ne manquait pas d'esprit, il était même très filant."",""run"":""gemini""},{""id"":38332,""pun"":""Après sa découverte sur l'optique, il a retrouvé la vue : son projet était enfin au foyer."",""run"":""gemini""},{""id"":97669,""pun"":""Quand l'inventeur a fini son néon, il était déjà très éclairé sur le sujet."",""run"":""gemini""},{""id"":91151,""pun"":""L'électricien qui a dompté le néon était sous haute tension avant le succès."",""run"":""gemini""},{""id"":38318,""pun"":""L'inventeur de la lampe était tellement friand de ses résultats qu'il en était brillant de joie."",""run"":""gemini""},{""id"":29457,""pun"":""Celui qui a créé l'ampoule n'était pas une lumière, mais il a fini par s'allumer."",""run"":""gemini""},{""id"":27386,""pun"":""Face au succès de sa lampe à gaz, l'inventeur a fini par péter les flammes."",""run"":""gemini""}]"
3804	"[{""id"":57019,""pun"":""Un barde qui prend sa retraite, c'est quelqu'un qui a fini d'en conter."",""run"":""gemini""},{""id"":59328,""pun"":""Quand les conteurs de légendes disparaissent, ils sont tous très vite mythisés."",""run"":""gemini""},{""id"":66590,""pun"":""Un conteur qui meurt, c'est une perte de mémoire qui nous fait perdre le fil."",""run"":""gemini""},{""id"":78452,""pun"":""Le vieux narrateur est mort en laissant derrière lui un récit très réussi."",""run"":""gemini""},{""id"":72816,""pun"":""Le vieux menteur est mort : il a enfin trouvé sa version finale."",""run"":""gemini""},{""id"":25376,""pun"":""Quand les conteurs s'endorment pour toujours, c'est une fin de série."",""run"":""gemini""},{""id"":35042,""pun"":""Un narrateur qui s'éteint, c'est un homme de parole qui n'en a plus."",""run"":""gemini""},{""id"":41823,""pun"":""Quand un auteur de récits fantastiques s'en va, il devient un mythe au logis."",""run"":""gemini""},{""id"":74436,""pun"":""Les conteurs ne meurent pas, ils changent simplement de chapitre."",""run"":""gemini""},{""id"":35925,""pun"":""On pleure le vieux barde car il nous a raconté tant de salades qu'on en a le cœur en chou-fleur."",""run"":""gemini""},{""id"":48779,""pun"":""Pourquoi les conteurs ne meurent jamais ? Parce qu'ils sont toujours dans la confidence."",""run"":""gemini""},{""id"":21067,""pun"":""Les vieux mythomanes ne s'éteignent pas, ils s'en fables."",""run"":""gemini""}]"
3805	"[{""id"":37459,""pun"":""Quand le prince est décoiffé, la Reine dit que c'est un air de famille."",""run"":""gemini""},{""id"":42547,""pun"":""Le petit prince ne range jamais ses slips, c'est un héritier sale."",""run"":""gemini""},{""id"":85835,""pun"":""Le souverain s'est fait une frange, c'est pour ça qu'il a un air royal."",""run"":""gemini""},{""id"":55154,""pun"":""Le jeune noble a mauvaise haleine, c'est l'héritier du trône qui pue."",""run"":""gemini""},{""id"":51591,""pun"":""La Reine est stressée car son fils n'est pas un héritier de mèche avec elle."",""run"":""gemini""},{""id"":82388,""pun"":""Le roi se fait du souci pour sa couronne : il commence à se dégarnir du trône."",""run"":""gemini""},{""id"":93337,""pun"":""Un roi qui ne trouve pas de successeur est un homme qui manque de suite dans les idées."",""run"":""gemini""},{""id"":37657,""pun"":""On a demandé au prince de se brosser, car c'est un bel héritier."",""run"":""gemini""},{""id"":64243,""pun"":""Un dauphin qui perd ses cheveux est un successeur qui n'a plus de raie."",""run"":""gemini""},{""id"":81453,""pun"":""Le coiffeur du roi est anxieux : il a peur de perdre son héritage."",""run"":""gemini""},{""id"":41478,""pun"":""Un prince chauve n'a jamais d'idées à la con, il a juste des idées de génie civil."",""run"":""gemini""},{""id"":52647,""pun"":""Pour être un bon monarque, il faut savoir garder son sang-froid et son sens-fils."",""run"":""gemini""}]"
3806	"[{""id"":17830,""pun"":""Le glacier a fait faillite : ses actifs ont fondu."",""run"":""gemini""},{""id"":79305,""pun"":""On a dû fermer la fabrique de colle, les créanciers ne voulaient plus que ça adhère."",""run"":""gemini""},{""id"":43474,""pun"":""Pourquoi le chimiste est-il pauvre ? Parce qu'il a perdu toutes ses solutions."",""run"":""gemini""},{""id"":21993,""pun"":""L'entreprise de sel a déposé le bilan car elle n'était plus assez solvable."",""run"":""gemini""},{""id"":10271,""pun"":""Le banquier de l'expert en chimie a refusé son prêt car la situation était trop saturée."",""run"":""gemini""},{""id"":71861,""pun"":""Depuis que l'usine de jus d'orange a fait faillite, elle n'est plus liquide."",""run"":""gemini""},{""id"":48398,""pun"":""L'usine de crayons n'a plus un centime : sa situation n'est pas très nette."",""run"":""gemini""},{""id"":61049,""pun"":""Un scout s'est perdu dans l'avion : il est resté coincé dans la soute."",""run"":""gemini""},{""id"":11932,""pun"":""Quand l'usine d'acide a fermé, les employés avaient un goût amer : ils étaient tous dissous."",""run"":""gemini""},{""id"":93372,""pun"":""Le fabricant de parapluies est ruiné car il attendait que l'argent tombe du ciel."",""run"":""gemini""},{""id"":23641,""pun"":""L'entreprise de pompes funèbres a coulé : le directeur est resté sans voix face à la bière."",""run"":""gemini""},{""id"":81355,""pun"":""Le producteur de café est ruiné : il est dans le marc jusqu'au cou."",""run"":""gemini""}]"
3807	"[{""id"":78358,""pun"":""La marquise s'est confessée au milieu de la nef, car elle voulait que son péché soit bien mis en rang."",""run"":""gemini""},{""id"":82632,""pun"":""Au lieu de prier dans la nef, elle a suivi un fripon qui lui a promis monts et merveilles, surtout les monts."",""run"":""gemini""},{""id"":73464,""pun"":""À l'église, la pécheresse cherchait la nef sous les conseils d'un trompeur qui l'a menée en bateau."",""run"":""gemini""},{""id"":78386,""pun"":""Prise par le démon, elle entra dans la nef pour voir le diacre, mais c'était un faux saint qui l'attendait au tournant."",""run"":""gemini""},{""id"":41410,""pun"":""Se sentant coupable, elle chercha un homme de foi dans la nef, mais tomba sur un trompeur qui jouait du cor de chasse."",""run"":""gemini""},{""id"":23165,""pun"":""Quand la duchesse a des pensées impures, elle court à la nef car elle adore les bas-fonds de l'église."",""run"":""gemini""},{""id"":52807,""pun"":""Attirée par le vice, elle s'approcha du scélérat qui, au fond de la nef, lui fit une scène de confession."",""run"":""gemini""},{""id"":30677,""pun"":""Elle voulait sauver son âme dans la nef, mais le vilain lui a vite fait perdre le nord."",""run"":""gemini""},{""id"":15619,""pun"":""La princesse cherchait le salut dans la nef, mais elle n'a trouvé qu'un valet qui lui a rendu les cartes de ses péchés."",""run"":""gemini""},{""id"":64116,""pun"":""Elle est venue chercher la paix dans la nef, mais le malhonnête lui a fait une offre qu'elle ne pouvait pas prêcher."",""run"":""gemini""},{""id"":50955,""pun"":""Prise de remords, la princesse alla se confesser dans la nef, mais elle ne trouva qu'un fripon qui lui fit faire la moue de l'allée."",""run"":""gemini""},{""id"":71046,""pun"":""Pour ses péchés, la reine cherchait la nef, mais elle n'a trouvé qu'un valet de trèfle qui cultivait ses mauvaises herbes."",""run"":""gemini""}]"
3808	"[{""id"":56959,""pun"":""On m'a dit que les freins ABS étaient révolutionnaires, mais j'attends toujours le déclic... ou le dé-clac."",""run"":""gemini""},{""id"":34548,""pun"":""Quand le système de freinage tombe en panne, l'info ne circule plus, elle pile."",""run"":""gemini""},{""id"":88543,""pun"":""Le présentateur météo a eu un accident, il a glissé sur un bulletin de verglas."",""run"":""gemini""},{""id"":29655,""pun"":""Le stagiaire au journal auto a été viré : il n'avait aucun rapport de boîte."",""run"":""gemini""},{""id"":38487,""pun"":""Vendre des plaquettes de frein à la radio, c'est faire de la pub à tambour battant."",""run"":""gemini""},{""id"":44376,""pun"":""Quand le journal automobile a déposé le bilan, c'était un coup de frein à main."",""run"":""gemini""},{""id"":58436,""pun"":""L'actualité sur les nouvelles pédales de frein est très pressante."",""run"":""gemini""},{""id"":51649,""pun"":""Pourquoi les journalistes aiment-ils les voitures de sport ? Pour la vitesse de parution."",""run"":""gemini""},{""id"":81779,""pun"":""Le rédacteur en chef a freiné des quatre fers pour ne pas publier l'article sur les pneus."",""run"":""gemini""},{""id"":96000,""pun"":""Un scoop sur les freins à disque, c'est du journalisme de circulaire."",""run"":""gemini""},{""id"":54537,""pun"":""Un journaliste auto qui ne s'arrête jamais fait souvent du frein-lance."",""run"":""gemini""},{""id"":43736,""pun"":""L'invention du disque de frein a fait sensation : c'était une info de toute plaquette."",""run"":""gemini""}]"
3809	"[{""id"":99736,""pun"":""Pourquoi les joueurs de poker ne sont jamais perdus ? Parce qu'ils suivent toujours la carte."",""run"":""gemini""},{""id"":11794,""pun"":""Les joueurs de poker qui jettent l'éponge se sentent un peu défaussés."",""run"":""gemini""},{""id"":90362,""pun"":""Un joueur de poker qui abandonne, c'est un homme qui a fini de jouer les joints."",""run"":""gemini""},{""id"":59868,""pun"":""Un joueur ruiné qui quitte la table, c'est un as qui finit dans le caniveau."",""run"":""gemini""},{""id"":88854,""pun"":""Il a jeté ses cartes si fort qu'il s'est fait une entorse au dé-goût."",""run"":""gemini""},{""id"":59437,""pun"":""Le joueur qui se couche trop tôt finit par faire tapis."",""run"":""gemini""},{""id"":49795,""pun"":""Au poker, si tu n'as plus de jeu, c'est que tu es hors-jeu."",""run"":""gemini""},{""id"":15997,""pun"":""Quand un tricheur se fait jeter, il finit dans la défausse commune."",""run"":""gemini""},{""id"":17903,""pun"":""Au poker, quand on est sur la touche, c'est qu'on a fini par rendre les cartes et l'âme."",""run"":""gemini""},{""id"":77318,""pun"":""Un magicien qui rate son tour au poker est un homme de peu de foi(re)."",""run"":""gemini""},{""id"":37223,""pun"":""Le joueur de poker qui perd ses moyens finit par perdre sa mise en plis."",""run"":""gemini""},{""id"":99882,""pun"":""Un carré d'as qui se sépare, c'est un déchirement de cœur."",""run"":""gemini""}]"
3810	"[{""id"":43362,""pun"":""Le fabricant est ruiné car ses stocks sont tout gaufrettes."",""run"":""gemini""},{""id"":88668,""pun"":""Le fabricant de chips a fait faillite, il a fini en morceaux."",""run"":""gemini""},{""id"":65733,""pun"":""Le vendeur de snacks a perdu son calme, il était à fleur de sel."",""run"":""gemini""},{""id"":34283,""pun"":""Les pommes de terre ne font plus de chips, elles ont la patate."",""run"":""gemini""},{""id"":56865,""pun"":""Une chips qui ne se vend pas, c'est une chips qui a un grain."",""run"":""gemini""},{""id"":84006,""pun"":""Un sachet de chips vide est courageux : il n'est jamais couard."",""run"":""gemini""},{""id"":92529,""pun"":""Quand les chips stagnent en rayon, le gérant finit par craquer."",""run"":""gemini""},{""id"":80953,""pun"":""Le PDG de Lay's est stressé, il craint la tuile."",""run"":""gemini""},{""id"":18214,""pun"":""Le sachet de chips s'est engueulé avec le gâteau : ils ont eu un gros frite."",""run"":""gemini""},{""id"":42221,""pun"":""Vendre des chips au milieu du parc, c'est ce qui devrait leur seoir."",""run"":""gemini""},{""id"":72967,""pun"":""Ma chips refuse de travailler, elle reste sur son canapé."",""run"":""gemini""},{""id"":92534,""pun"":""Les chips aux enchères, ça coûte un pognon de dingue : c'est croustillant !"",""run"":""gemini""}]"
