id_en	text_clean	claude_candidate_json	gemini_candidate_json	gemini_pro_single_candidate_json	gpt_single_candidate_json	shuffled_candidates_json	discriminator_run2_json	discriminator_run2_error	discriminator_run2_model	discriminator_run2_model_id	discriminator_run2_version
501	After discovering that her children were playing with matches, their mother exploded with fury.	"{""source"":""claude"",""original_id"":""46907"",""pun"":""Les enfants jouaient avec des allumettes. La mère a explosé. Ce jour-là, tout le monde avait joué avec le feu.""}"	"{""source"":""gemini"",""original_id"":""81409"",""pun"":""Elle a trouvé le briquet caché : elle était tellement fumasse qu'on voyait la fumée sortir par ses oreilles.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""En découvrant que ses enfants jouaient avec des allumettes, leur mère a explosé de colère.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""En surprenant ses enfants avec des allumettes, leur mère a explosé — et pas seulement de colère.""}"	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""En découvrant que ses enfants jouaient avec des allumettes, leur mère a explosé de colère."",""id"":71578},{""source"":""gemini"",""original_id"":""81409"",""pun"":""Elle a trouvé le briquet caché : elle était tellement fumasse qu'on voyait la fumée sortir par ses oreilles."",""id"":24298},{""source"":""claude"",""original_id"":""46907"",""pun"":""Les enfants jouaient avec des allumettes. La mère a explosé. Ce jour-là, tout le monde avait joué avec le feu."",""id"":18612},{""source"":""gpt_single"",""original_id"":"""",""pun"":""En surprenant ses enfants avec des allumettes, leur mère a explosé — et pas seulement de colère."",""id"":11245}]"	"{""comedian"":[11245,18612,71578,24298],""pun_expert"":[11245,18612,71578,24298],""editor"":[18612,71578,11245,24298],""translator"":[11245,18612,71578,24298]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
502	After getting his master's degree-Bob got a job as a postman-reconciling that he was still a man of letters.	"{""source"":""claude"",""original_id"":""10213"",""pun"":""Après son master, Bob est devenu facteur. Il se consolait en se disant qu'il restait un homme de lettres.""}"	"{""source"":""gemini"",""original_id"":""32790"",""pun"":""À force de lire le courrier des autres, ce facteur est devenu un homme de belles lettres.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Avec son master en poche, Bob est devenu facteur : il tenait à rester un homme de lettres.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après son master, Bob est devenu facteur : il restait un homme de lettres, simplement en tournée.""}"	"[{""source"":""claude"",""original_id"":""10213"",""pun"":""Après son master, Bob est devenu facteur. Il se consolait en se disant qu'il restait un homme de lettres."",""id"":92323},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Avec son master en poche, Bob est devenu facteur : il tenait à rester un homme de lettres."",""id"":85150},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après son master, Bob est devenu facteur : il restait un homme de lettres, simplement en tournée."",""id"":79227},{""source"":""gemini"",""original_id"":""32790"",""pun"":""À force de lire le courrier des autres, ce facteur est devenu un homme de belles lettres."",""id"":52320}]"	"{""comedian"":[79227,85150,92323,52320],""pun_expert"":[85150,79227,92323,52320],""editor"":[85150,79227,92323,52320],""translator"":[85150,92323,79227,52320]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
503	After getting pranked by his friends and getting hit with a basket, Aron knew they had a wickerd sense of humour.	"{""source"":""claude"",""original_id"":""68249"",""pun"":""Après avoir reçu un panier en osier sur la tête, Aron a compris que ses amis avaient un humour vraiment o-sier.""}"	"{""source"":""gemini"",""original_id"":""98933"",""pun"":""Après avoir été assommé par un panier d'osier, Marc a trouvé que ses amis étaient vraiment des êtres mal-vanniers.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après s'être fait piéger et avoir reçu un panier sur la tête, Aron a compris qu'ils avaient un humour osieréfique.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après le panier en osier dans la figure, Aron a compris que ses potes avaient un humour osieréfique.""}"	"[{""source"":""gemini"",""original_id"":""98933"",""pun"":""Après avoir été assommé par un panier d'osier, Marc a trouvé que ses amis étaient vraiment des êtres mal-vanniers."",""id"":31910},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après le panier en osier dans la figure, Aron a compris que ses potes avaient un humour osieréfique."",""id"":96956},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après s'être fait piéger et avoir reçu un panier sur la tête, Aron a compris qu'ils avaient un humour osieréfique."",""id"":21350},{""source"":""claude"",""original_id"":""68249"",""pun"":""Après avoir reçu un panier en osier sur la tête, Aron a compris que ses amis avaient un humour vraiment o-sier."",""id"":69822}]"	"{""comedian"":[69822,31910,21350,96956],""pun_expert"":[69822,31910,21350,96956],""editor"":[31910,69822,21350,96956],""translator"":[69822,21350,96956,31910]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
504	After having a knee dislocated and an elbow fractured in two barroom brawls Bradley should have learned to stay away from those joints.	"{""source"":""claude"",""original_id"":""12453"",""pun"":""Bradley ressort de chaque bar avec un os en moins. On dit qu'il faut savoir lever le coude, mais lui, il préfère le fracturer.""}"	"{""source"":""gemini"",""original_id"":""12769"",""pun"":""Après s'être démis l'épaule dans une bagarre, Marc a décidé de ne plus fréquenter ces mauvaises articulations.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après s'être démis un genou et fracturé le coude dans des bagarres de bistrot, Bradley ferait bien d'arrêter de lever le coude.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après deux bagarres en boîte, un genou déboîté et un coude en miettes, Bradley aurait dû piger que les boîtes, ça déboîte.""}"	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après deux bagarres en boîte, un genou déboîté et un coude en miettes, Bradley aurait dû piger que les boîtes, ça déboîte."",""id"":62092},{""source"":""gemini"",""original_id"":""12769"",""pun"":""Après s'être démis l'épaule dans une bagarre, Marc a décidé de ne plus fréquenter ces mauvaises articulations."",""id"":19468},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après s'être démis un genou et fracturé le coude dans des bagarres de bistrot, Bradley ferait bien d'arrêter de lever le coude."",""id"":35987},{""source"":""claude"",""original_id"":""12453"",""pun"":""Bradley ressort de chaque bar avec un os en moins. On dit qu'il faut savoir lever le coude, mais lui, il préfère le fracturer."",""id"":54186}]"	"{""comedian"":[62092,54186,35987,19468],""pun_expert"":[62092,35987,54186,19468],""editor"":[19468,54186,35987,62092],""translator"":[35987,54186,62092,19468]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
505	After he bought a mirror he became very reflective.	"{""source"":""claude"",""original_id"":""91665"",""pun"":""Il a acheté un miroir et depuis, il réfléchit beaucoup. Le miroir aussi.""}"	"{""source"":""gemini"",""original_id"":""30825"",""pun"":""Pourquoi les miroirs sont-ils si intelligents ? Parce qu'ils ont beaucoup de réflexion.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après avoir acheté un miroir, il s'est enfin mis à réfléchir.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Depuis qu’il a acheté un miroir, il est devenu très réfléchi.""}"	"[{""source"":""gemini"",""original_id"":""30825"",""pun"":""Pourquoi les miroirs sont-ils si intelligents ? Parce qu'ils ont beaucoup de réflexion."",""id"":73686},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après avoir acheté un miroir, il s'est enfin mis à réfléchir."",""id"":97773},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Depuis qu’il a acheté un miroir, il est devenu très réfléchi."",""id"":94714},{""source"":""claude"",""original_id"":""91665"",""pun"":""Il a acheté un miroir et depuis, il réfléchit beaucoup. Le miroir aussi."",""id"":16748}]"	"{""comedian"":[16748,73686,97773,94714],""pun_expert"":[73686,16748,94714,97773],""editor"":[94714,97773,16748,73686],""translator"":[94714,97773,16748,73686]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
506	After he bought his two-year-old a felt pen, he was a marked man.	"{""source"":""claude"",""original_id"":""39115"",""pun"":""Il a offert des feutres à son gamin — maintenant il est marqué à vie.""}"	"{""source"":""gemini"",""original_id"":""29756"",""pun"":""Depuis qu'il a offert des feutres à son fils, on peut dire qu'il est un homme marqué.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Depuis qu'il a offert des feutres à son gamin de deux ans, c'est un homme marqué.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Depuis qu’il a offert un feutre à son fils de deux ans, il est marqué à la culotte… et au feutre.""}"	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Depuis qu’il a offert un feutre à son fils de deux ans, il est marqué à la culotte… et au feutre."",""id"":50531},{""source"":""gemini"",""original_id"":""29756"",""pun"":""Depuis qu'il a offert des feutres à son fils, on peut dire qu'il est un homme marqué."",""id"":99962},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Depuis qu'il a offert des feutres à son gamin de deux ans, c'est un homme marqué."",""id"":27564},{""source"":""claude"",""original_id"":""39115"",""pun"":""Il a offert des feutres à son gamin — maintenant il est marqué à vie."",""id"":97833}]"	"{""comedian"":[50531,27564,99962,97833],""pun_expert"":[50531,27564,99962,97833],""editor"":[27564,99962,50531,97833],""translator"":[50531,27564,99962,97833]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
507	After he carried a gun in his car the engine was soon shot.	"{""source"":""claude"",""original_id"":""32977"",""pun"":""Il transportait une arme et son moteur a fini par rendre l'âme. C'est ce qu'on appelle un coup de grâce mécanique.""}"	"{""source"":""gemini"",""original_id"":""10513"",""pun"":""Porter une arme en voiture ? C'est le meilleur moyen de se prendre une décharge de batterie.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Avec une arme sous le capot, pas étonnant que son moteur soit flingué.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Depuis qu’il roule armé, son moteur a des à-coups.""}"	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Avec une arme sous le capot, pas étonnant que son moteur soit flingué."",""id"":17201},{""source"":""claude"",""original_id"":""32977"",""pun"":""Il transportait une arme et son moteur a fini par rendre l'âme. C'est ce qu'on appelle un coup de grâce mécanique."",""id"":90194},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Depuis qu’il roule armé, son moteur a des à-coups."",""id"":90071},{""source"":""gemini"",""original_id"":""10513"",""pun"":""Porter une arme en voiture ? C'est le meilleur moyen de se prendre une décharge de batterie."",""id"":87836}]"	"{""comedian"":[17201,87836,90194,90071],""pun_expert"":[90194,17201,87836,90071],""editor"":[17201,90071,87836,90194],""translator"":[17201,90194,87836,90071]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
508	After he invented the light bulb, people saw Edison in a new light.	"{""source"":""claude"",""original_id"":""23340"",""pun"":""Quand Edison a inventé l'ampoule, tout le monde l'a vu sous un nouveau jour.""}"	"{""source"":""gemini"",""original_id"":""77750"",""pun"":""Pourquoi Edison est-il devenu célèbre ? Parce qu'il était au courant.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après l'invention de l'ampoule, Edison a vraiment été mis en lumière.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Depuis qu’il a inventé l’ampoule, Edison passe enfin pour une lumière.""}"	"[{""source"":""gemini"",""original_id"":""77750"",""pun"":""Pourquoi Edison est-il devenu célèbre ? Parce qu'il était au courant."",""id"":55175},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Depuis qu’il a inventé l’ampoule, Edison passe enfin pour une lumière."",""id"":78771},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après l'invention de l'ampoule, Edison a vraiment été mis en lumière."",""id"":23522},{""source"":""claude"",""original_id"":""23340"",""pun"":""Quand Edison a inventé l'ampoule, tout le monde l'a vu sous un nouveau jour."",""id"":98332}]"	"{""comedian"":[55175,78771,98332,23522],""pun_expert"":[55175,78771,98332,23522],""editor"":[78771,55175,98332,23522],""translator"":[98332,23522,78771,55175]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
509	After his computer problems he decided on a Crash course in security.	"{""source"":""claude"",""original_id"":""98825"",""pun"":""Il a eu une erreur fatale sur son PC alors il a suivi un cours intensif… malheureusement, il a encore tout planté.""}"	"{""source"":""gemini"",""original_id"":""80058"",""pun"":""Un informaticien qui tombe, c'est un homme à la mer... ou à la RAM.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après le nième plantage de son ordinateur, il a décidé de s'inscrire à des cours de jardinage.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après trop de plantages informatiques, il a pris une formation accélérée en cybersécurité pour apprendre à ne plus se planter.""}"	"[{""source"":""claude"",""original_id"":""98825"",""pun"":""Il a eu une erreur fatale sur son PC alors il a suivi un cours intensif… malheureusement, il a encore tout planté."",""id"":41377},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Après trop de plantages informatiques, il a pris une formation accélérée en cybersécurité pour apprendre à ne plus se planter."",""id"":76305},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après le nième plantage de son ordinateur, il a décidé de s'inscrire à des cours de jardinage."",""id"":28070},{""source"":""gemini"",""original_id"":""80058"",""pun"":""Un informaticien qui tombe, c'est un homme à la mer... ou à la RAM."",""id"":94187}]"	"{""comedian"":[28070,94187,41377,76305],""pun_expert"":[94187,28070,41377,76305],""editor"":[28070,94187,41377,76305],""translator"":[76305,41377,28070,94187]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
510	After manually rotating the heavy machinery, the worker grew very cranky.	"{""source"":""claude"",""original_id"":""53782"",""pun"":""Après avoir remonté le mécanisme à la main, l'ouvrier était complètement remonté — mais pas dans le bon sens.""}"	"{""source"":""gemini"",""original_id"":""44841"",""pun"":""Un mécanicien en colère ? C'est un moteur qui monte dans les tours.""}"	"{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après avoir tourné la manivelle de la lourde machine, l'ouvrier était vraiment remonté.""}"	"{""source"":""gpt_single"",""original_id"":"""",""pun"":""À force de tourner la manivelle, l’ouvrier est devenu grincheux : même son humeur s’est mise à grincer.""}"	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Après avoir tourné la manivelle de la lourde machine, l'ouvrier était vraiment remonté."",""id"":24174},{""source"":""gemini"",""original_id"":""44841"",""pun"":""Un mécanicien en colère ? C'est un moteur qui monte dans les tours."",""id"":75325},{""source"":""claude"",""original_id"":""53782"",""pun"":""Après avoir remonté le mécanisme à la main, l'ouvrier était complètement remonté — mais pas dans le bon sens."",""id"":68884},{""source"":""gpt_single"",""original_id"":"""",""pun"":""À force de tourner la manivelle, l’ouvrier est devenu grincheux : même son humeur s’est mise à grincer."",""id"":70669}]"	"{""comedian"":[68884,24174,75325,70669],""pun_expert"":[68884,24174,75325,70669],""editor"":[24174,68884,75325,70669],""translator"":[68884,24174,75325,70669]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run2_v2
