id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr
1901	Jumping to conclusions is bad exercise				exercise	homographic	['physical activity', 'workout', 'exertion', 'training']	['mental process', 'practice', 'application', 'evaluation']	exercice	['activité physique', 'entraînement', 'effort', 'formation']	['processus mental', 'pratique', 'application', 'évaluation']
1902	Junior loved being a member of the wrestling team even though he was prone to lose.				lose	homophonic	['be defeated', 'fail', 'yield', 'be beaten']	['loose', 'not tight', 'relaxed', 'slack']	perdre	['être vaincu', 'échouer', 'céder', 'être battu']	['lâche', 'desserré', 'décontracté', 'mou']
1903	Just after thimbles were invented there was a shortage, so many people got stuck without one.				stuck	homographic	['trapped', 'stranded', 'helpless', 'unsupported']	['pricked', 'poked', 'stabbed', 'pierced with a needle']	piqué	['bloqué', 'coincé', 'abandonné', 'désemparé']	['piqué', 'transpercé', 'poignardé', 'percé avec une aiguille']
1904	Just because pews come in rows doesn't mean we should plant ourselves there				rows	homophonic	['lines', 'tiers', 'sections', 'arrangements']	['rose', 'flowered', 'bloomed', 'flourished']	rangs	['lignes', 'étages', 'sections', 'dispositions']	['rose', 'fleuri', 'épanoui', 'prospéré']
1905	Just pew it				pew	homophonic	['do', 'execute', 'perform', 'Nike slogan']	['pew', 'laser sound effect', 'church bench']	banc	['faire', 'exécuter', 'accomplir', 'slogan de Nike']	"['pan', 'bruit de laser', ""banc d'église""]"
1906	Just read a few facts about frogs. They were ribbiting.				ribbiting	homophonic	['riveting', 'engrossing', 'fascinating', 'captivating', 'gripping']	['ribbit', 'croaking', 'frog noise', 'amphibian sound']	croassant	['passionnant', 'captivant', 'fascinant', 'envoûtant', 'saisissant']	['croassement', 'bruit de grenouille', 'cri de batracien', 'coassement']
1907	Just say cheese.				cheese	homographic	['smile', 'grin', 'pose']	['dairy product', 'cheddar', 'brie']	fromage	['sourire', 'grimace', 'pose']	['produit laitier', 'cheddar', 'brie']
1908	Karin Viard, the actress who never play-acts				play-acts	homographic	['performs', 'stars', 'portrays a character', 'thespianism']	['pretends', 'deceives', 'puts on an act', 'insincere behavior']	joue la comédie	['interprète', 'joue un rôle', 'incarne un personnage', 'art dramatique']	['fait semblant', 'trompe', 'joue un jeu', 'comportement insincère']
1909	Kenco Really Smooth. Everything we know about ground coffee in an instant.				instant	homographic	['moment', 'second', 'immediate']	['soluble', 'powdered', 'quickly prepared']	instant	['moment', 'seconde', 'immédiat']	['soluble', 'en poudre', 'vite préparé']
1910	Kennebunkport was George Bush's maine vacation spot.				maine	homophonic	['Maine', 'Pine Tree State', 'the 23rd U.S. state', 'New England state']	['main', 'primary', 'principal', 'chief', 'major']	maine	"['le Maine', ""l'État du pin"", 'le 23ème État des États-Unis', 'État de la Nouvelle-Angleterre']"	['principal', 'majeur', 'primordial', 'essentiel', 'premier']
