id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr
1301	I caught a bell cricket! I don't know the face... but the name sure rings a bell!				rings a bell	homographic	['familiar', 'recollection', 'memory', 'recognition', 'cognition', 'awareness']	['chime', 'clapper', 'resonance', 'instrument', 'vibration', 'sound']	cela me dit quelque chose	['familier', 'souvenir', 'mémoire', 'reconnaissance', 'cognition', 'conscience']	['carillon', 'battant', 'résonance', 'instrument', 'vibration', 'son']
1302	I caught a brown cicada! I hope it's not afraid-a!				afraid-a	homophonic	['scared', 'fearful', 'frightened', 'terrified', 'anxious', 'panicked']	['cicada', 'insect', 'bug', 'wings', 'summer', 'buzz']	effrayé-a	['peureux', 'craintif', 'effrayé', 'terrifié', 'anxieux', 'paniqué']	['cigale', 'insecte', 'bestiole', 'ailes', 'été', 'bourdonnement']
1303	I caught a brown cicada! Now it probably feels blue, cicada.				blue, cicada	homophonic	['sad', 'gloomy', 'melancholy', 'depressed', 'unhappy', 'sorrowful']	['bleu cicada', 'insect', 'bug', 'exoskeleton', 'hemiptera', 'periodical']	bleu, cigale	['triste', 'sombre', 'mélancolique', 'déprimé', 'malheureux', 'affligé']	['cigale bleue', 'insecte', 'bestiole', 'exosquelette', 'hémiptère', 'périodique']
1304	I caught a centipede! 99 more and I'll have a dollarpede!				dollarpede	homophonic	['insect', 'arthropod', 'legs', 'segment', 'creature', 'crawling']	['currency', 'money', 'finance', 'hundred', 'cents', 'value']	dollar-pède	['insecte', 'arthropode', 'pattes', 'segment', 'créature', 'rampant']	['devise', 'argent', 'finance', 'cent', 'centimes', 'valeur']
1305	I caught a centipede! Impede the centipede!				impede	homophonic	['hinder', 'block', 'delay', 'obstruct', 'stop', 'thwart']	['arthropod', 'insect', 'legs', 'segment', 'creature', 'insecticide']	entraver	['gêner', 'bloquer', 'retarder', 'obstruer', 'arrêter', 'contrarier']	['arthropode', 'insecte', 'pattes', 'segment', 'créature', 'insecticide']
1306	I caught a citrus long-horned beetle! Orange you happy for me?				Orange	homophonic	['citrus', 'fruit', 'peel', 'zest', 'segment', 'vitamin']	"[""Aren't"", 'interrogative', 'negative', 'contraction', 'expectant', 'query']"	Orange	['agrume', 'fruit', 'peau', 'zeste', 'quartier', 'vitamine']	['Ne...pas', 'interrogatif', 'négatif', 'contraction', 'expectative', 'requête']
1307	I caught a common bluebottle! I'll put it in a rare green jar!				bluebottle	homographic	['insect', 'fly', 'wings', 'thorax', 'antenna', 'haltere']	['vessel', 'container', 'glass', 'receptacle', 'flask', 'storage']	mousson	['insecte', 'mouche', 'ailes', 'thorax', 'antenne', 'balancier']	['vaisseau', 'récipient', 'verre', 'réceptacle', 'flacon', 'stockage']
1308	I caught a common butterfly! They often flutter by!				butterfly	homophonic	['insect', 'wings', 'lepidoptera', 'nectar', 'antenna', 'thorax']	['flutter', 'by', 'motion', 'flight', 'passing', 'nearby']	papillon	['insecte', 'ailes', 'lépidoptère', 'nectar', 'antenne', 'thorax']	['voltiger', 'par', 'mouvement', 'vol', 'passage', 'proximité']
1309	I caught a cricket! That's the ticket!				ticket	homographic	['receipt', 'voucher', 'slip', 'admittance', 'pass', 'admission']	['ideal', 'correct', 'appropriate', 'solution', 'strategy', 'requirement']	ticket	['reçu', 'bon', 'coupon', 'entrée', 'laisser-passer', 'admission']	['idéal', 'correct', 'approprié', 'solution', 'stratégie', 'exigence']
1310	I caught a damselfly! Now it's a damselfly in distress!				damselfly	homographic	['insect', 'odonata', 'wings', 'thorax', 'nature', 'predator']	['maiden', 'lady', 'noblewoman', 'medieval', 'damsel', 'captive']	demoiselle	['insecte', 'odonates', 'ailes', 'thorax', 'nature', 'prédateur']	['jeune fille', 'dame', 'noble', 'médiéval', 'demoiselle', 'captive']
1311	I caught a darner dragonfly! Darn right I did!				darn	homographic	['insect', 'dragonfly', 'odonata', 'wing', 'thorax', 'antenna']	['emphasis', 'assertion', 'interjection', 'curse', 'euphemism', 'exclamation']	maudit	['insecte', 'libellule', 'odonate', 'aile', 'thorax', 'antenne']	['emphase', 'assertion', 'interjection', 'juron', 'euphémisme', 'exclamation']
