id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr
1	I want to be cremated as it is my last hope for a smoking hot body.				smoking hot	homographic	['burning', 'charred', 'vapor', 'ash', 'fire', 'incinerate']	['attractive', 'beautiful', 'stunning', 'sexy', 'gorgeous', 'handsome']	fumant	['brûlant', 'carbonisé', 'vapeur', 'cendre', 'feu', 'incinérer']	['attrayant', 'beau', 'renversant', 'sexy', 'magnifique', 'séduisant']
2	To the guy who invented zero, thanks for nothing.				nothing	homographic	['zero', 'cipher', 'digit', 'naught', 'null', 'void']	['useless', 'worthless', 'trivial', 'insignificant', 'empty', 'trifle']	rien	['zéro', 'chiffre', 'néant', 'nul', 'vide', 'aucun']	['inutile', 'sans-valeur', 'trivial', 'insignifiant', 'creux', 'babiole']
3	"""(The windbag... speechless. This has got to be a first.)"""				first	homographic	['original', 'initial', 'primary', 'earliest', 'starting']	['occurrence', 'unprecedented', 'novelty', 'milestone', 'rarity', 'event']	premier	['original', 'initial', 'primaire', 'précoce', 'départ']	['occurrence', 'inédit', 'nouveauté', 'jalon', 'rareté', 'événement']
4	"""A good [deed] is never lost. Character is [property], it is the noblest of possession."""				deed	homographic	['action', 'act', 'execution', 'feat', 'effort', 'performance']	['document', 'contract', 'title', 'instrument', 'record', 'conveyance']	acte	['action', 'geste', 'exécution', 'prouesse', 'effort', 'performance']	['document', 'contrat', 'titre', 'instrument', 'registre', 'cession']
5	"""Am I so round with you as you with me, That like a football you do spurn me thus? You spurn me hence, and he will spurn me hither. If I last in this service, you must case me in leather."""				round	homographic	['candid', 'blunt', 'direct', 'honest', 'plain', 'forthright']	['circular', 'spherical', 'curved', 'globular', 'rotund', 'spherical']	rond	['franc', 'direct', 'honnête', 'brusque', 'simple', 'droit']	['circulaire', 'sphérique', 'courbé', 'globulaire', 'rotond', 'sphéroïde']
6	"""Are you drinking again?"" ""No, it's just tea."" ""What kind of tea?"" ""Tea-quila."""				tea-quila	homophonic	['beverage', 'leaf', 'steep', 'kettle', 'herbal', 'infusion']	['alcohol', 'agave', 'spirit', 'shot', 'liquor', 'mexico']	thé-quila	['boisson', 'feuille', 'infuser', 'bouilloire', 'herbe', 'infusion']	['alcool', 'agave', 'spiritueux', 'verre', 'liqueur', 'mexique']
7	"""Before she had this fit"" You never had fits, my dear, I think? Then the words don't fit you."				fit	homographic	['seizure', 'convulsion', 'paroxysm', 'attack', 'outbreak', 'agitation']	['suit', 'match', 'appropriate', 'adapted', 'proper', 'tailored']	crise	['convulsion', 'spasme', 'paroxysme', 'attaque', 'accès', 'agitation']	['correspondre', 'convenir', 'approprié', 'adapté', 'adéquat', 'ajusté']
8	"""Dad, I'm hungry."" Hello, Hungry. I'm Dad."				Hungry	homographic	['starving', 'appetite', 'empty', 'food', 'eating', 'famished']	['name', 'proper', 'noun', 'identity', 'title', 'appellation']	Affamé	['affamé', 'appétit', 'vide', 'nourriture', 'manger', 'famine']	['nom', 'propre', 'substantif', 'identité', 'titre', 'appellation']
9	"""Dost thou hear?"" ""Your tale, sir, would cure deafness."""				deafness	homographic	['ear', 'auditory', 'hearing', 'sound', 'silence', 'sensory']	['boredom', 'attention', 'dullness', 'tedious', 'monotony', 'disinterest']	surdité	['oreille', 'auditif', 'ouïe', 'son', 'silence', 'sensoriel']	['ennui', 'attention', 'lourdeur', 'fastidieux', 'monotonie', 'désintérêt']
10	"""I think it be thine, indeed; for thou liest in't"" ""You lie out on't, sir, and therefore 'tis not yours. For my part, I do not 'lie' in't, and yet it is mine."" Thou dost 'lie' in't, to be in't and say it is thine. ""'Tis for the dead, not for the quick; therefore thou liest."" ""'Tis a 'quick' lie, sir; 'twill away again from me to you."""				lie	homographic	['recline', 'rest', 'situate', 'occupy', 'posture', 'dwell']	['deceive', 'falsify', 'mislead', 'fib', 'untruth', 'fabricate']	mentir	['reposer', 'gésir', 'situer', 'occuper', 'posture', 'demeurer']	['tromper', 'falsifier', 'leurrer', 'affabuler', 'mensonge', 'fabriquer']
