id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
1601	I went to the store to buy some soup but they were out of stock.				stock	homographic	['inventory', 'supply', 'merchandise']	['broth', 'bouillon', 'soup base']	stock	['inventaire', 'réserve', 'marchandise']	['bouillon', 'fond de sauce', 'base de soupe']	stock	['inventory', 'reserve', 'merchandise']	['broth', 'sauce base', 'soup base']
1602	I went to the theatre, it looked a bit suspicious. I reckon the whole thing was staged.				staged	homographic	['performed on a stage', 'theatrically produced', 'dramatized']	['fabricated', 'faked', 'contrived', 'orchestrated']	mis en scène	['joué sur une scène', 'produit de manière théâtrale', 'dramatisé']	['fabriqué', 'truqué', 'combiné', 'orchestré']	staged	['performed on a stage', 'produced theatrically', 'dramatized']	['fabricated', 'faked', 'contrived', 'orchestrated']
1603	I will blaze a trail.				blaze	homographic	['burn', 'flame', 'ignite', 'fire']	['mark', 'pioneer', 'lead', 'create a path']	flammes	['brûler', 'flamber', 'allumer', 'feu']	['marquer', 'pionnier', 'mener', 'ouvrir la voie']	flames	['burn', 'blaze', 'ignite', 'fire']	['mark', 'pioneer', 'lead', 'blaze a trail']
1604	I wish I'd said that, Oscar, he said wildly.				wildly	homophonic	['frantically', 'crazily', 'uncontrollably', 'viciously']	['Oscar Wilde', 'Wilde-ly', 'in the manner of Oscar Wilde', 'wittily']	follement	['frénétiquement', 'follement', 'incontrôlablement', 'vicieusement']	"['Oscar Wilde', 'à la Wilde', ""à la manière d'Oscar Wilde"", 'spirituellement']"	madly	['frantically', 'madly', 'uncontrollably', 'viciously']	['Oscar Wilde', 'Wilde-style', 'in the manner of Oscar Wilde', 'wittily']
1605	"""I won't tell you anything about my salivary glands,"" he said secretively."				secretively	homographic	['covertly', 'stealthily', 'clandestinely', 'privately']	['secreting', 'discharging', 'releasing fluid', 'excreting']	secrètement	['discrètement', 'furtivement', 'clandestinement', 'en privé']	['sécrétant', 'déchargeant', 'libérant du fluide', 'excrétant']	secretly	['discreetly', 'stealthily', 'clandestinely', 'privately']	['secreting', 'discharging', 'releasing fluid', 'excreting']
1606	I wonder how much an anagram weighs?				anagram	homographic	['wordplay', 'rearrangement', 'permutation']	['a gram', 'metric weight unit', '0.001 kilograms']	anagramme	['jeu de mots', 'réarrangement', 'permutation']	['un gramme', 'unité de poids métrique', '0,001 kilogramme']	anagram	['pun', 'rearrangement', 'permutation']	['one gram', 'metric weight unit', '0.001 kilogram']
1607	I wonder how much an anagram weighs?				anagram	homographic	['wordplay', 'rearrangement of letters', 'cipher']	['a gram', 'metric weight', 'unit of mass']	anagramme	['un jeu de mots', 'un réarrangement de lettres', 'un chiffre']	['un gramme', 'un poids métrique', 'une unité de masse']	anagram	['a pun', 'a rearrangement of letters', 'a cipher']	['a gram', 'a metric weight', 'a unit of mass']
1608	I wonder if I shall fall right through the earth! How funny it'll seem to come out among the people that walk with their heads downward! The Antipathies, I think.				Antipathies	homophonic	['Antipodes', 'opposites', 'reverse', 'contrary']	['hostility', 'dislike', 'aversion', 'animosity']	Antipathies	['Antipodes', 'opposés', 'inverse', 'contraire']	['hostilité', 'détestation', 'aversion', 'animosité']	Antipathies	['Antipodes', 'opposites', 'inverse', 'contrary']	['hostility', 'detestation', 'aversion', 'animosity']
1609	I wondered why my geometry class was always tired. They were all out of shape.				out of shape	homographic	['unfit', 'unhealthy', 'exhausted', 'weak']	['non-geometric', 'deformed', 'irregular', 'lacking form']	pas en forme	['en mauvaise condition physique', 'en mauvaise santé', 'épuisé', 'faible']	['non géométrique', 'déformé', 'irrégulier', 'sans forme']	not in shape	['in poor physical condition', 'in poor health', 'exhausted', 'weak']	['non-geometric', 'deformed', 'irregular', 'formless']
1610	I wondered why the baseball was getting bigger. Then it hit me.				hit	homographic	['struck', 'collided', 'impacted', 'smacked']	['realized', 'occurred to', 'dawned on', 'understood']	frapper	['frappé', 'entré en collision', 'impacté', 'percuté']	"['réalisé', ""venu à l'esprit"", 'apparu', 'compris']"	strike	['hit', 'collided', 'impacted', 'struck']	['realized', 'came to mind', 'occurred', 'understood']
