id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
101	"""The sun is rising,"" he mourned."				mourned	homophonic	['mourned', 'grieved', 'sorrowed', 'lamented']	['morned', 'dawned', 'became morning', 'daybreak']	matin	['pleuré', 'affligé', 'endeuillé', 'lamenté']	['matin', 'levé du jour', 'devenu matin', 'aube']	morning	['cried', 'afflicted', 'mourned', 'lamented']	['morning', 'daybreak', 'become morning', 'dawn']
102	"""There's room for one more,"" he admitted."				admitted	homographic	['confessed', 'acknowledged', 'revealed', 'conceded']	['allowed entry', 'let in', 'accepted', 'granted access']	admis	['avoué', 'reconnu', 'révélé', 'concédé']	['autorisé à entrer', 'laissé entrer', 'accepté', 'accès accordé']	admitted	['confessed', 'recognized', 'revealed', 'conceded']	['allowed to enter', 'let in', 'accepted', 'access granted']
103	"""There, there,"" was his pat answer."				pat	homographic	['touch', 'stroke', 'tap', 'caress']	['glib', 'simplistic', 'rehearsed', 'cliché']	pat	['touche', 'caresse', 'tapotement', 'effleurement']	['simpliste', 'facile', 'tout fait', 'cliché']	pat	['touch', 'caress', 'tap', 'stroke']	['simplistic', 'easy', 'ready-made', 'cliché']
104	"""These bit patterns will be more readable in groups of 8,"" he said bitingly."				bitingly	homographic	['harshly', 'caustically', 'sharply', 'acerbicly']	['in chunks', 'by bits', 'piece by piece']	mordant	['durement', 'caustiquement', 'vivement', 'acerbe']	['par morceaux', 'par bouts', 'pièce par pièce']	biting	['harshly', 'caustically', 'sharply', 'acerbic']	['in pieces', 'in bits', 'piece by piece']
105	"""This food tastes of plutonium,"" he said glowingly."				glowingly	homographic	['enthusiastically', 'approvingly', 'warmly', 'complimentarily']	['luminescently', 'radiantly', 'phosphorescently', 'emitting radiation']	chaleureusement	['avec enthousiasme', 'favorablement', 'chaleureusement', 'élogieusement']	['de façon luminescente', 'radieusement', 'de façon phosphorescente', 'émettant un rayonnement']	warmly	['with enthusiasm', 'favorably', 'warmly', 'glowingly']	['luminescently', 'radiantly', 'phosphorescently', 'emitting radiation']
106	"""This is where I keep my arrows,"" he said quiveringly."				quiveringly	homographic	['trembling', 'shaking', 'shuddering', 'vibrating']	['relating to an arrow case', 'arrow container', 'quiver-like']	en frémissant	['tremblant', 'secouant', 'frissonnant', 'vibrant']	['relatif à un carquois', 'étui à flèches', 'semblable à un carquois']	while quivering	['trembling', 'shaking', 'shivering', 'vibrating']	['relating to a quiver', 'arrow case', 'quiver-like']
107	"""This looks like the fruit of the blackthorn,"" he said slowly."				slowly	homophonic	['gradually', 'unhurriedly', 'deliberately', 'at a low speed']	['sloe-ly', 'sloe', 'blackthorn fruit-like', 'resembling small bitter plums']	lentement	['graduellement', 'sans hâte', 'délibérément', 'à faible vitesse']	['en rapport avec la prunelle', 'la prunelle', 'fruit du prunellier', 'ressemblant à de petites prunes amères']	slowly / sloe-ly	['gradually', 'leisurely', 'deliberately', 'at low speed']	['relating to the sloe', 'the sloe berry', 'fruit of the blackthorn', 'resembling small bitter plums']
108	"""This movie will be very popular,"" he projected."				projected	homographic	['predicted', 'forecast', 'estimated', 'anticipated']	['displayed', 'screened', 'beamed', 'cast']	projeté	['prédit', 'prévu', 'estimé', 'anticipé']	['affiché', 'visionné', 'diffusé', 'émis']	projected	['predicted', 'planned', 'estimated', 'anticipated']	['displayed', 'viewed', 'broadcast', 'emitted']
109	"""This salad dressing has too much vinegar,"" he said acidly."				acidly	homographic	['sharply', 'bitterly', 'caustically', 'sarcastic']	['viny', 'sourly', 'acidic', 'vinegary']	acidement	['vivement', 'amèrement', 'caustiquement', 'sarcastique']	['aigre', 'acidulé', 'acide', 'vinaigré']	acidly	['sharply', 'bitterly', 'caustically', 'sarcastically']	['sour', 'acidulous', 'acidic', 'vinegary']
110	"""This steamroller is amazing,"" he said flatteringly."				flatteringly	homographic	['complimentarily', 'praisingly', 'adulatingly', 'fawningly']	['levelingly', 'smoothly', 'evenly', 'crushingly']	flatteusement	['complimentairement', 'élogieusement', 'adulateur', 'servilement']	['horizontalement', 'doucement', 'uniformément', 'écrasant']	flatteringly	['complimentarily', 'praisingly', 'adulatory', 'servilely']	['horizontally', 'smoothly', 'uniformly', 'crushing']
