id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
301	A fisherman tried boxing, but he only threw hooks.				hooks	homographic	['fishing tools', 'barbs', 'j-hooks', 'lures']	['punches', 'blows', 'short swings', 'boxing strikes']	crochets	['outils de pêche', 'barbillons', 'crochets en J', 'leurres']	['coups de poing', 'coups', 'balancements courts', 'frappes de boxe']	hooks	['fishing tools', 'barbs', 'J-hooks', 'lures']	['punches', 'blows', 'short swings', 'boxing strikes']
302	A fisherman who was also a pianist was an expert with scales.				scales	homographic	['plates', 'lamellae', 'scutes', 'bony covers']	['musical intervals', 'solfège', 'musical notes', 'graduated series']	gammes	['écailles', 'lamelles', 'scutelles', 'plaques osseuses']	['intervalles musicaux', 'solfège', 'notes de musique', 'série graduée']	scales	['scales', 'flakes', 'scutes', 'bony plates']	['musical scales', 'music theory', 'musical notes', 'graduated series']
303	A flat rate is the monthly rent for an apartment.				flat	homographic	['even', 'level', 'horizontal', 'fixed']	['apartment', 'suite', 'dwelling', 'lodging']	plat	['uni', 'plan', 'horizontal', 'fixe']	['appartement', 'suite', 'demeure', 'logement']	flat	['even', 'level', 'horizontal', 'fixed']	['apartment', 'suite', 'dwelling', 'housing']
304	A flute teacher is a tutor.				tutor	homophonic	['teacher', 'instructor', 'mentor', 'educator']	['tooter', 'horn player', 'flautist', 'one who toots']	tuteur	['enseignant', 'instructeur', 'mentor', 'éducateur']	['joueur de flûte', 'joueur de cor', 'flûtiste', 'celui qui klaxonne']	tutor	['teacher', 'instructor', 'mentor', 'educator']	['flute player', 'horn player', 'flautist', 'one who honks']
305	A fool and his head are easily parted!				head	homographic	['skull', 'noggin', 'cranium', 'anatomical top']	['intellect', 'reasoning', 'mind', 'common sense']	tête	['crâne', 'bouille', 'cranium', 'sommet anatomique']	['intellect', 'raisonnement', 'esprit', 'bon sens']	head	['skull', 'face', 'cranium', 'anatomical vertex']	['intellect', 'reasoning', 'mind', 'common sense']
306	A former doctor, while auditioning for a play, broke his leg. But luckily, he could still make the cast.				cast	homographic	['group of actors', 'performers', 'troupe']	['plaster bandage', 'orthopedic dressing', 'splint']	plâtre	"[""groupe d'acteurs"", 'interprètes', 'troupe']"	['bandage en plâtre', 'pansement orthopédique', 'atelle']	plaster	['group of actors', 'performers', 'troupe']	['plaster cast', 'orthopedic dressing', 'splint']
307	A friend told me he dug a hole in my backyard and filled it with water. I thought he meant well.				well	homographic	['properly', 'appropriately', 'favourably', 'intended']	['hole', 'shaft', 'cistern', 'water source']	puits	['bien', 'convenablement', 'favorablement', 'voulu']	"['trou', 'puits', 'citerne', ""source d'eau""]"	well	['well', 'properly', 'favorably', 'intended']	['hole', 'well', 'cistern', 'water source']
308	A friend tried to make me say animal puns today but I thought they were boaring.				boaring	homophonic	['boring', 'dull', 'uninteresting', 'tedious']	['boar', 'swine', 'wild pig', 'porcine']	ennuyant	['ennuyeux', 'terne', 'inintéressant', 'fastidieux']	['sanglier', 'porc', 'cochon sauvage', 'porcin']	boring	['annoying', 'dull', 'uninteresting', 'tedious']	['wild boar', 'pig', 'wild hog', 'porcine']
309	A frightened bird dog that runs from everything is known as the Golden Retreater.				Retreater	homophonic	['Retriever', 'gun dog', 'Golden Retriever', 'fetcher']	['coward', 'runner', 'deserter', 'one who retreats']	Fuyard-Retriever	['Retriever', 'chien de chasse', 'Golden Retriever', 'rapporteur']	['lâche', 'fuyard', 'déserteur', 'celui qui bat en retraite']	Retreat-Retriever	['Retriever', 'hunting dog', 'Golden Retriever', 'fetcher']	['coward', 'runaway', 'deserter', 'the one who retreats']
310	A gambling gardener usually hedges his bets.				hedges	homographic	['shrubs', 'bushes', 'fences', 'barriers']	['offsets', 'safeguards', 'protects', 'limits']	haies	['arbustes', 'buissons', 'clôtures', 'barrières']	['compensations', 'sauvegardes', 'protections', 'limites']	hedges	['shrubs', 'bushes', 'fences', 'barriers']	['compensations', 'safeguards', 'protections', 'limits']
311	A garbage man digging through the trash says-Man, am I down in the dumps today.				dumps	homographic	['trash site', 'landfill', 'garbage heap']	['depressed', 'gloomy', 'sad', 'melancholy']	décharges	"[""site d'enfouissement"", 'décharge', ""tas d'ordures""]"	['déprimé', 'sombre', 'triste', 'mélancolique']	dumps	['landfill', 'discharge', 'garbage heap']	['depressed', 'gloomy', 'sad', 'melancholy']
