id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	retrieval_affordances_json	retrieval_affordance_count	candidate_json	candidate_count	generation_error	generator_version
1	I want to be cremated as it is my last hope for a smoking hot body.				smoking hot	homographic	['burning', 'charred', 'vapor', 'ash', 'fire', 'incinerate']	['attractive', 'beautiful', 'stunning', 'sexy', 'gorgeous', 'handsome']	fumant	['brûlant', 'carbonisé', 'vapeur', 'cendre', 'feu', 'incinérer']	['attrayant', 'beau', 'renversant', 'sexy', 'magnifique', 'séduisant']				"[{""left"":""vapeur"",""right"":""paveur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":0.8119,""french_naturalness"":0.54,""semantic_surprise"":0.6265,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.54,""overall_score"":0.6777},""export_lane"":""close_A_to_other""}]"	1	"[{""generated_pun"":""Je veux être incinéré pour enfin avoir un corps de feu."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Je vais être incinéré pour que tout le monde se dise que je suis enfin canon et bien roulé."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""À ma crémation, j'espère que l'assistance trouvera que j'ai une plastique d'enfer."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Le paveur m'a dit : 'Même dans la vapeur des fours, on garde le moral'."",""used_affordance_ids"":[1],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Pour ma crémation, je veux un cercueil en bois de chauffage, histoire d'être une vraie allumeuse."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Je préfère l'incinération car on m'a toujours dit que j'étais une tête brûlée."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Après le crématorium, je serai enfin un cendrillon d'un soir."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Je veux être incinéré pour prouver que je peux être torride sans faire d'efforts."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Une fois en cendres, je serai enfin quelqu'un de radieux grâce aux braises."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Choisissez la crémation : c'est le seul moyen d'avoir un coup de foudre après la mort."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""}]"	10		v10
2	To the guy who invented zero, thanks for nothing.				nothing	homographic	['zero', 'cipher', 'digit', 'naught', 'null', 'void']	['useless', 'worthless', 'trivial', 'insignificant', 'empty', 'trifle']	rien	['zéro', 'chiffre', 'néant', 'nul', 'vide', 'aucun']	['inutile', 'sans-valeur', 'trivial', 'insignifiant', 'creux', 'babiole']				[]	0	"[{""generated_pun"":""À celui qui a inventé le zéro : merci de tout mon rien."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""J'ai demandé à un prof de math ce que valait le néant. Sa réponse était nulle."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""L'inventeur du vide n'a laissé aucun héritage, il n'avait rien à transmettre."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Le chiffre zéro est le seul qui travaille sans compter, car il ne vaut rien."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""On m'a offert un livre sur le néant, mais je n'y ai rien trouvé d'intéressant."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""L'inventeur de l'inutile a fait un travail remarquable pour que ça ne serve à rien."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Quand on n'a rien à dire sur le zéro, on a déjà tout résumé."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Pourquoi le zéro est-il toujours calme ? Parce qu'il n'a aucun compte à rendre."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""J'ai voulu acheter un objet insignifiant, mais le vendeur m'a dit que ça n'avait pas de prix."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Le zéro est une invention géniale : c'est la seule fois où l'absence fait le chiffre."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""}]"	10		v10
3	"""(The windbag... speechless. This has got to be a first.)"""				first	homographic	['original', 'initial', 'primary', 'earliest', 'starting']	['occurrence', 'unprecedented', 'novelty', 'milestone', 'rarity', 'event']	premier	['original', 'initial', 'primaire', 'précoce', 'départ']	['occurrence', 'inédit', 'nouveauté', 'jalon', 'rareté', 'événement']				[]	0	"[{""generated_pun"":""Un moulin à paroles réduit au silence ? C'est une première mondiale, ou plutôt une mule-un à paroles."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Le vent a tourné : le plus grand bavard est enfin en manque d'air, c'est un vrai coup de théâtre initial."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Il n'a plus un mot à dire ? Pour lui, c'est vraiment l'heure du premier dé-part de sa langue."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Celui qui brassait de l'air est devenu un courant d'air : une grande première pour la science !"",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Il a enfin fermé sa boîte ? C'est un événement d'origine contrôlée par le silence."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Le pipelet est muet ? Voilà un jalon historique, il a enfin trouvé sa voix de garage."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Une pipelette sans pile, c'est une rareté : il est passé de 'trop' à 'tôt' le matin sans un mot."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Quand le vent se tait, l'original n'est plus qu'une copie conforme du silence."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""C'est la première fois qu'il se tait, il est enfin passé au stade de l'air primaire : celui qu'on ne pollue pas avec des mots."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Le bavard est sans voix ? On assiste à son baptême de l'air frais."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Un inédit de taille : le moulin ne tourne plus, le meunier dort enfin au premier rang."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Silence radio chez le moulin à paroles : un événement qui fera date dans l'histoire du vide."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""}]"	12		v10
4	"""A good [deed] is never lost. Character is [property], it is the noblest of possession."""				deed	homographic	['action', 'act', 'execution', 'feat', 'effort', 'performance']	['document', 'contract', 'title', 'instrument', 'record', 'conveyance']	acte	['action', 'geste', 'exécution', 'prouesse', 'effort', 'performance']	['document', 'contrat', 'titre', 'instrument', 'registre', 'cession']				"[{""left"":""action"",""right"":""axons"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":5,""scores"":{""phonetic_match"":0.8303,""french_naturalness"":0.54,""semantic_surprise"":0.6367,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.504,""overall_score"":0.6753},""export_lane"":""close_A_to_other""}]"	1	"[{""generated_pun"":""Quand un notaire fait une bonne action, il s'assure que tout le monde est dans le bon titre."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Pour devenir un héros, il faut joindre le geste à la parole, mais pour posséder l'immeuble, il faut joindre l'acte au registre."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Si nous voulons que chaque action porte ses fruits, axons notre stratégie sur la signature du contrat."",""used_affordance_ids"":[1],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Une bonne action n'est jamais perdue, sauf si le notaire oublie de l'enregistrer dans les actes."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Le cavalier a fait une prouesse incroyable : il a réussi à dresser son titre de propriété."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Un homme d'action n'attend pas que le contrat tombe du ciel, il le signe de son plein gré."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Certains font des actions héroïques, d'autres préfèrent les actions en bourse : chacun son titre de gloire."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""L'exécution d'un testament est la seule performance où l'acteur principal est absent."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Elle a fait un effort de cession pour prouver que sa générosité n'était pas qu'un acte de présence."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Axons nos efforts sur le terrain : c'est là que l'action immobilière prend tout son sens."",""used_affordance_ids"":[1],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Un titre de propriété est un document qui prouve que votre action est enfin chez elle."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Il a confondu une action d'éclat avec un acte de vente : maintenant il est propriétaire d'un feu d'artifice."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""}]"	12		v10
5	"""Am I so round with you as you with me, That like a football you do spurn me thus? You spurn me hence, and he will spurn me hither. If I last in this service, you must case me in leather."""				round	homographic	['candid', 'blunt', 'direct', 'honest', 'plain', 'forthright']	['circular', 'spherical', 'curved', 'globular', 'rotund', 'spherical']	rond	['franc', 'direct', 'honnête', 'brusque', 'simple', 'droit']	['circulaire', 'sphérique', 'courbé', 'globulaire', 'rotond', 'sphéroïde']				[]	0	"[{""generated_pun"":""Je suis toujours très franc avec mes amis, mais quand j'ai pris du poids, ils m'ont dit que j'étais devenu un peu trop rond."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Entre nous, soyons ronds : si tu continues à me faire tourner en bourrique, je vais finir en ballon."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""On me dit souvent que je manque de rondeur dans mes propos, pourtant mon ventre prouve le contraire."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Le coach m'a dit d'être plus direct, alors j'ai foncé tout droit dans le poteau de corner."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Un cercle n'est jamais franc, il tourne toujours autour du pot."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Si tu me traites comme un ballon, c'est que notre relation manque de droiture."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Je ne suis pas gros, je suis juste d'une franchise circulaire."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Il m'a parlé avec une telle rondeur que j'ai fini par rouler sous la table."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Pour être honnête, ma silhouette est la seule chose qui ne tourne pas carré chez moi."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Tu me trouves trop brusque ? Attends que je rebondisse sur la question."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Il est difficile d'être droit quand on a un physique de ballon de rugby : on finit toujours par dévier."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Je suis si rond avec toi que tu pourrais m'envoyer au but sans que je proteste."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""}]"	12		v10
6	"""Are you drinking again?"" ""No, it's just tea."" ""What kind of tea?"" ""Tea-quila."""				tea-quila	homophonic	['beverage', 'leaf', 'steep', 'kettle', 'herbal', 'infusion']	['alcohol', 'agave', 'spirit', 'shot', 'liquor', 'mexico']	thé-quila	['boisson', 'feuille', 'infuser', 'bouilloire', 'herbe', 'infusion']	['alcool', 'agave', 'spiritueux', 'verre', 'liqueur', 'mexique']				"[{""left"":""verre"",""right"":""vert"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.86,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.94,""overall_score"":0.9106},""export_lane"":""close_B_to_other""},{""left"":""verre"",""right"":""vers"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.86,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.907,""overall_score"":0.902},""export_lane"":""close_B_to_other""},{""left"":""achille"",""right"":""agile"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8291,""french_naturalness"":0.42,""semantic_surprise"":0.7175,""semantic_domain_similarity"":0.6296,""pun_pivot_usability"":0.45,""overall_score"":0.6169},""export_lane"":""detached_A2_B01_DETACHED""},{""left"":""asile"",""right"":""agile"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":0.816,""french_naturalness"":0.42,""semantic_surprise"":0.7103,""semantic_domain_similarity"":0.6296,""pun_pivot_usability"":0.42,""overall_score"":0.6041},""export_lane"":""detached_A2_B01_DETACHED""},{""left"":""ergs"",""right"":""herbe"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8063,""french_naturalness"":0.42,""semantic_surprise"":0.6635,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.63},""export_lane"":""detached_B2_A01_DETACHED""}]"	5	"[{""generated_pun"":""- Tu bois encore ? - Non, c'est juste du thé. - Quel genre de thé ? - Le Théquila."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Un verre de tequila, c'est bien, mais un verre vert, c'est plus écolo pour boire au Mexique."",""used_affordance_ids"":[1],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Pourquoi les poètes ne boivent-ils que dans un verre ? Pour ne pas perdre leurs vers."",""used_affordance_ids"":[2],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Un ivrogne qui boit sa verveine dans un verre vert, c'est une infusion de confusion."",""used_affordance_ids"":[1],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Le talon d'Achille du buveur de tequila ? Il n'est plus très agile après trois verres."",""used_affordance_ids"":[4],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- C'est quoi ton thé préféré ? - Le théquille, ça me rend agile."",""used_affordance_ids"":[4,5],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Il a bu tellement de spiritueux qu'il a fini sa nuit à l'asile, lui qui se croyait si agile."",""used_affordance_ids"":[5],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""L'herbe est toujours plus verte dans le verre du voisin qui boit du mezcal."",""used_affordance_ids"":[1,3],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Boire un verre vers minuit, c'est le meilleur moyen d'infuser ses problèmes."",""used_affordance_ids"":[2],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Quand je vois de l'herbe, je me dis que c'est l'heure de l'infusion... ou du demi-ergs ?"",""used_affordance_ids"":[3],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Tu sers quoi dans ce verre ? - De la tequila. C'est mon thé-mex !"",""used_affordance_ids"":[1],""generator_model"":""gemini"",""generator_version"":""v10""}]"	11		v10
7	"""Before she had this fit"" You never had fits, my dear, I think? Then the words don't fit you."				fit	homographic	['seizure', 'convulsion', 'paroxysm', 'attack', 'outbreak', 'agitation']	['suit', 'match', 'appropriate', 'adapted', 'proper', 'tailored']	crise	['convulsion', 'spasme', 'paroxysme', 'attaque', 'accès', 'agitation']	['correspondre', 'convenir', 'approprié', 'adapté', 'adéquat', 'ajusté']				[]	0	"[{""generated_pun"":""Je ne comprends pas tes crises ; pour tout dire, elles ne me conviennent pas du tout."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Tu dis que tu es d'attaque pour ce rôle, mais tu n'as pas l'air très ajusté."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Son accès de colère était si soudain qu'il n'avait plus accès à la raison."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Elle a fait un malaise en cabine d'essayage : apparemment, la robe n'était pas à sa taille, ni son état."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Il a eu un spasme nerveux, mais rassurez-vous, son costume reste parfaitement cintré."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Tu fais une fixation sur tes convulsions, ça ne colle pas avec ton image."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Arrête tes crises, ça ne t'habille pas très bien."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Une attaque cérébrale ? C'est une façon bien étrange de se mettre au diapason."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Ses paroxysmes de rire ne sont plus adéquats avec la solennité du moment."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Si tu t'agites autant, c'est que ce pantalon n'est vraiment pas adapté."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Tu es en plein spasme, mais pourtant tu prétends que tout te sied à merveille ?"",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""C'est un accès de folie qui manque cruellement de correspondance avec ton tempérament."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""}]"	12		v10
8	"""Dad, I'm hungry."" Hello, Hungry. I'm Dad."				Hungry	homographic	['starving', 'appetite', 'empty', 'food', 'eating', 'famished']	['name', 'proper', 'noun', 'identity', 'title', 'appellation']	Affamé	['affamé', 'appétit', 'vide', 'nourriture', 'manger', 'famine']	['nom', 'propre', 'substantif', 'identité', 'titre', 'appellation']				[]	0	"[{""generated_pun"":""- Papa, j'ai faim. - Enchanté Faim, moi c'est Papa !"",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- J'ai très faim ! - Ah non, tu es Jean-Marc, ne change pas d'identité maintenant."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Papa, j'ai les crocs ! - Salut Les Crocs, moi c'est Les Baskets."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Je suis affamé ! - Enchanté Affamé, moi je suis À Table."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- J'ai un creux. - Salut Un Creux, moi c'est Une Bosse."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Je meurs de faim ! - Mes condoléances Monsieur De Faim, vous étiez si jeune."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Papa, j'ai l'estomac dans les talons. - Bonjour Estomac, tu n'as pas trop mal aux pieds ?"",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- J'ai une faim de loup. - Heureux de te rencontrer Loup, n'oublie pas de te brosser les crocs."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Papa, je suis vide. - C'est un prénom original, tu l'as choisi comment ?"",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- J'ai un appétit d'ogre. - Ravi de l'apprendre Monsieur Ogre, vous ne mangerez pas les enfants j'espère ?"",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Papa, j'ai trop faim. - Bonjour Trop Faim, je suis Trop Papa."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Je crie famine ! - Bonjour Famine, pas la peine de hurler, je t'ai entendue."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""}]"	12		v10
9	"""Dost thou hear?"" ""Your tale, sir, would cure deafness."""				deafness	homographic	['ear', 'auditory', 'hearing', 'sound', 'silence', 'sensory']	['boredom', 'attention', 'dullness', 'tedious', 'monotony', 'disinterest']	surdité	['oreille', 'auditif', 'ouïe', 'son', 'silence', 'sensoriel']	['ennui', 'attention', 'lourdeur', 'fastidieux', 'monotonie', 'désintérêt']				"[{""left"":""enduis"",""right"":""ennui"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8031,""french_naturalness"":0.42,""semantic_surprise"":0.6617,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.6288},""export_lane"":""detached_A2_B01_DETACHED""}]"	1	"[{""generated_pun"":""- Vous m'entendez ? - Votre histoire est un tel enduis de monotonie qu'on ne s'en sort plus."",""used_affordance_ids"":[1],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Son récit était si assourdissant d'ennui que mes oreilles ont démissionné pour surdité professionnelle."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Ton histoire est un miracle : elle est tellement barbante qu'elle a rendu l'ouïe sélective à tout l'auditoire."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Écouter tes récits, c'est comme perdre l'audition : on finit par apprécier le silence qui s'installe."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Tu m'écoutes ? - Désolé, ton monologue est un traitement radical contre l'hypersensibilité auditive."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""C'est un récit si lourd qu'il ne tombe pas dans l'oreille d'un sourd, il l'écrase carrément."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Entre ton histoire et le silence, mes tympans ont choisi leur camp : la grève totale."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Entends-tu ce que je dis ? - Non, ton ennui est un isolant phonique de haute performance."",""used_affordance_ids"":[1],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Ta parole est d'argent, mais ton silence serait un appareil auditif gratuit pour nous tous."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""On dit que la musique adoucit les mœurs, mais ton récit, lui, durcit les tympans."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Tu parles tellement de rien que mon système auditif a activé le mode économie d'énergie."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Mon histoire te plaît ? - Elle est parfaite pour ceux qui veulent tester leur capacité à devenir sourds volontaires."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""}]"	12		v10
10	"""I think it be thine, indeed; for thou liest in't"" ""You lie out on't, sir, and therefore 'tis not yours. For my part, I do not 'lie' in't, and yet it is mine."" Thou dost 'lie' in't, to be in't and say it is thine. ""'Tis for the dead, not for the quick; therefore thou liest."" ""'Tis a 'quick' lie, sir; 'twill away again from me to you."""				lie	homographic	['recline', 'rest', 'situate', 'occupy', 'posture', 'dwell']	['deceive', 'falsify', 'mislead', 'fib', 'untruth', 'fabricate']	mentir	['reposer', 'gésir', 'situer', 'occuper', 'posture', 'demeurer']	['tromper', 'falsifier', 'leurrer', 'affabuler', 'mensonge', 'fabriquer']				[]	0	"[{""generated_pun"":""- Pourquoi ce drap est-il si malhonn'reux ? - Parce qu'il ne fait que de se coucher sur ses propres mensonges."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Vous mentez dans cette tombe, monsieur ! - Non, je m'y repose seulement ; c'est ma v)rit) qui est en train de g)sir juste c't)."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Un menteur qui fait la sieste ne trompe personne : il est simplement en train de pr)parer un faux repos."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Cette place est prise ? - Oui, par mon honn tet), car elle ne s'allonge jamais devant personne."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Je ne mens pas quand je suis au lit, je suis juste dans une position qui manque de franchise."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Il pr)tend que c'est sa r)sidence, mais puisqu'il y g't sans y vivre, sa demeure n'est qu'une affabulation."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""Un fossoyeur ne ment jamais : il se contente de situer la v)rit) six pieds sous terre."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""On dit d'un avocat qu'il se pose des questions, mais c'est surtout qu'il repose sur des inventions."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Tu occupes ce fauteuil ? - Non, je le leurre en faisant croire que je m'y assieds."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""C'est un comble pour un menteur de mourir : il finit par se poser pour de bon sans pouvoir démentir sa posture."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""L'immobilier est un art du mensonge : on vous vend une situation alors que rien n'est jamais sa place."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""},{""generated_pun"":""- Pourquoi gisez-vous l ? - Pour v)rifier si le sol accepte mes r)cits ou s'il les rejette comme des faux."",""used_affordance_ids"":[],""generator_model"":""gemini"",""generator_version"":""v10""}]"	12		v10
