id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
3601	We all know Albert Einstein was a genius... But his brother Frank was a monster.				Frank	homophonic	['Francis', 'Proper name', 'Given name']	"['Frankenstein', ""Mary Shelley's monster"", 'Franken']"	Frank	['Francis', 'Nom propre', 'Prénom']	['Frankenstein', 'Le monstre de Mary Shelley', 'Franken']	Frank	['Francis', 'Proper noun', 'First name']	"['Frankenstein', ""Mary Shelley's monster"", 'Franken']"
3602	We are KOA'mazing.				KOA'mazing	homophonic	['amazing', 'wonderful', 'incredible', 'astonishing']	['KOA', 'Kampgrounds of America', 'camping brand']	KOA'royable	['incroyable', 'merveilleux', 'phénoménal', 'étonnant']	['KOA', 'Kampgrounds of America', 'marque de camping']	KOA-mazing	['incredible', 'wonderful', 'phenomenal', 'amazing']	['KOA', 'Kampgrounds of America', 'camping brand']
3603	We are overdressed when we are wrapped up in ourselves.				wrapped up	homographic	['bundled', 'clothed', 'covered', 'enveloped']	['preoccupied', 'absorbed', 'self-centered', 'obsessed']	enveloppé	['emballé', 'vêtu', 'couvert', 'enveloppé']	['préoccupé', 'absorbé', 'égocentrique', 'obsédé']	wrapped	['packaged', 'dressed', 'covered', 'wrapped']	['preoccupied', 'absorbed', 'self-centered', 'obsessed']
3604	We bake web & graphics, deliciously!				bake	homographic	['cook', 'roast', 'prepare food', 'heat']	['create', 'develop', 'build', 'construct', 'program']	cuire	['cuisiner', 'rôtir', 'préparer de la nourriture', 'chauffer']	['créer', 'développer', 'bâtir', 'construire', 'programmer']	cook	['cook', 'roast', 'prepare food', 'heat']	['create', 'develop', 'build', 'construct', 'program']
3605	We believe in separation of church and hate				hate	homophonic	['state', 'government', 'civil authority']	['hate', 'animosity', 'hostility', 'detestation']	haine	['état', 'gouvernement', 'autorité civile']	['haine', 'animosité', 'hostilité', 'détestation']	hatred	['state', 'government', 'civil authority']	['hatred', 'animosity', 'hostility', 'detestation']
3606	We did it twice last night, she relayed.				relayed	homophonic	['communicated', 'told', 'passed on', 'reported']	['re-laid', 'laid again', 'reinstalled', 'placed again']	relayé	['communiqué', 'raconté', 'transmis', 'rapporté']	['reposé', 'posé à nouveau', 'réinstallé', 'placé à nouveau']	relayed	['communicated', 'told', 'passed on', 'reported']	['rested', 'laid down again', 'reinstalled', 'placed again']
3607	We don't cut corners, we build them.				cut corners	homographic	['take shortcuts', 'skimp', 'be economical', 'reduce costs']	['saw edges', 'shape joints', 'fabricate angles', 'construct intersections']	brûler les étapes	['prendre des raccourcis', 'faire des économies de bout de chandelle', 'être économe', 'réduire les coûts']	['scier les coins', 'façonner les joints', 'fabriquer des angles', 'construire des intersections']	skipping steps	['taking shortcuts', 'cutting corners', 'being economical', 'reducing costs']	['sawing corners', 'shaping joints', 'making angles', 'building intersections']
3608	We don't read palms; we wave them.				palms	homographic	['inner surface of the hand', 'metacarpus', 'thenar']	['tropical trees', 'palmaceae', 'fronds']	paumes	['surface intérieure de la main', 'métacarpe', 'thénar']	['arbres tropicaux', 'palmacées', 'frondes']	palms	['inner surface of the hand', 'metacarpus', 'thenar']	['tropical trees', 'palmaceae', 'fronds']
3609	We drive people happy!				drive	homographic	['transport', 'chauffeur', 'shuttle']	['make', 'render', 'compel']	mener	['conduire', 'diriger', 'transporter']	['pousser', 'rendre', 'contraindre']	lead	['drive', 'direct', 'transport']	['push', 'render', 'constrain']
3610	We grow and refresh brands.				grow	homographic	['expand', 'increase', 'develop', 'build']	['cultivate', 'plant', 'farm', 'raise']	croître	['grandir', 'augmenter', 'développer', 'bâtir']	['cultiver', 'planter', 'exploiter', 'élever']	grow	['grow', 'increase', 'develop', 'build']	['cultivate', 'plant', 'exploit', 'raise']
3611	We have warm hearts for cold noses!				noses	homographic	['snouts', 'muzzles', 'beaks']	['knows', 'understands', 'perceives']	nez	['museaux', 'groins', 'becs']	['sait', 'comprend', 'perçoit']	nose	['muzzles', 'snouts', 'beaks']	['knows', 'understands', 'perceives']
3612	We have your back.				back	homographic	['support', 'protect', 'defend', 'assist']	['spine', 'vertebrae', 'rear', 'torso']	dos	['soutenir', 'protéger', 'défendre', 'aider']	['colonne vertébrale', 'vertèbres', 'arrière', 'torse']	back	['support', 'protect', 'defend', 'help']	['spine', 'vertebrae', 'rear', 'torso']
3613	We keep you moving.				moving	homographic	['transporting', 'relocating', 'shifting', 'transferring']	['motivating', 'inspiring', 'advancing', 'progressing']	émouvant	['transportant', 'déménageant', 'déplaçant', 'transférant']	['motivant', 'inspirant', 'avançant', 'progressant']	moving	['transporting', 'moving house', 'displacing', 'transferring']	['motivating', 'inspiring', 'advancing', 'progressing']
3614	We love enjoying blends, with benefits.				benefits	homographic	['nutrients', 'advantages', 'health perks', 'positive effects']	['friends with benefits', 'casual relationship perks', 'social advantages', 'bonuses']	avantages	['nutriments', 'avantages', 'atouts santé', 'effets positifs']	"['amis avec bénéfices', ""avantages d'une relation informelle"", 'avantages sociaux', 'bonus']"	benefits	['nutrients', 'advantages', 'health assets', 'positive effects']	['friends with benefits', 'advantages of an informal relationship', 'social benefits', 'bonuses']
