id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
2201	Never lie to an x-ray technician. They can see right through you.				see right through you	homographic	['radiation', 'skeleton', 'imaging', 'anatomy', 'radiograph', 'transparent']	['dishonesty', 'deception', 'truth', 'insight', 'detect', 'motive']	voir clair à travers vous	['radiation', 'squelette', 'imagerie', 'anatomie', 'radiographie', 'transparent']	['malhonnêteté', 'tromperie', 'vérité', 'intuition', 'détection', 'motif']			
2202	New legislation forbids anyone but Santa's family dressing up as him, and you must be named in the related clauses.				clauses	homophonic	['Santa', 'Christmas', 'Kris', 'Kringle', 'St', 'Nick']	['legal', 'contract', 'provision', 'document', 'law', 'stipulation']	clauses	['Noël', 'Père', 'Saint', 'Nicolas', 'Kringle', 'Kris']	['juridique', 'contrat', 'disposition', 'document', 'loi', 'stipulation']			
2203	New lightbulb invented? Enlighten me.				enlighten	homographic	['inform', 'educate', 'explain', 'clarify', 'teach', 'knowledge']	['illumination', 'brightness', 'luminescence', 'radiance', 'electricity', 'glow']	éclairer	['informer', 'instruire', 'expliquer', 'clarifier', 'enseigner', 'connaissance']	['illumination', 'luminosité', 'luminescence', 'éclat', 'électricité', 'lueur']			
2204	News of a coming flood was leaked.				leaked	homographic	['disclosed', 'revealed', 'news', 'secret', 'exposed', 'broadcast']	['spilled', 'liquid', 'water', 'drip', 'trickle', 'flood']	fuite	['divulgué', 'révélé', 'nouvelles', 'secret', 'exposé', 'diffusé']	['renversé', 'liquide', 'eau', 'goutte', 'ruissellement', 'inondation']			
2205	Nexen. Next century tire.				Nexen	homophonic	['brand', 'corporation', 'logo', 'manufacturer', 'rubber', 'automotive']	['next', 'future', 'century', 'upcoming', 'forward', 'modern']	Nexen	['marque', 'entreprise', 'logo', 'fabricant', 'caoutchouc', 'automobile']	['suivant', 'futur', 'siècle', 'prochain', 'avant', 'moderne']			
2206	Nice looking glass! he said reflectively.				reflectively	homographic	['thoughtful', 'contemplative', 'pensive', 'meditative', 'deliberate', 'mindful']	['mirroring', 'specular', 'optical', 'rebounding', 'shimmering', 'glinting']	réflexivement	['pensif', 'contemplatif', 'méditatif', 'délibéré', 'conscient', 'profond']	['spéculaire', 'miroitant', 'optique', 'réfléchissant', 'scintillant', 'luisant']			
2207	No bungee cords, but we encourage leaps of faith.				leaps	homographic	['jump', 'spring', 'vault', 'bound', 'height', 'descend']	['belief', 'spirituality', 'conviction', 'trust', 'religion', 'intuition']	sauts	['bond', 'élan', 'voûte', 'limite', 'hauteur', 'descente']	['foi', 'spiritualité', 'conviction', 'confiance', 'religion', 'intuition']			
2208	No leak is a good leak.				leak	homophonic	['puncture', 'water', 'plumbing', 'hole', 'seepage', 'spill']	['leek', 'vegetable', 'onion', 'allium', 'culinary', 'green']	fuite	['perforation', 'eau', 'plomberie', 'trou', 'suintement', 'déversement']	['poireau', 'légume', 'oignon', 'allium', 'culinaire', 'vert']			
2209	No matter how much you push the envelope, it'll still be stationery.				stationery	homophonic	['paper', 'envelopes', 'writing', 'office', 'supplies', 'letter']	['immobile', 'fixed', 'unmoving', 'stagnant', 'constant', 'static']	papeterie	['papier', 'enveloppes', 'écriture', 'bureau', 'fournitures', 'lettre']	['immobile', 'fixe', 'statique', 'stagnant', 'constant', 'invariable']			
2210	No one chills out in the fires of hell.				chills out	homographic	['relax', 'unwind', 'calm', 'leisure', 'peaceful']	['cold', 'freeze', 'ice', 'frost', 'temperature']	se refroidit	['se détendre', 'décompresser', 'calme', 'loisir', 'paisible']	['froid', 'geler', 'glace', 'givre', 'température']			
2211	No such luck this time, Worthy... or should I say, un-Worthy?				un-Worthy	homographic	['surname', 'name', 'person', 'individual', 'identity']	['useless', 'valueless', 'shameful', 'undeserving', 'inferior', 'despicable']	Indigne	['nom', 'patronyme', 'personne', 'individu', 'identid\x00']	['inutile', 'sans-valeur', 'honteux', 'm\x00ritant', 'inf\x00rieur', 'm\x00prisable']			
2212	Nobel got a big bang out of it.				big bang	homographic	['explosion', 'dynamite', 'detonation', 'blast', 'combustion', 'nitroglycerin']	['enjoyment', 'excitement', 'pleasure', 'thrill', 'satisfaction', 'delight']	grand boum	['explosion', 'dynamite', 'détonation', 'déflagration', 'combustion', 'nitroglycérine']	['plaisir', 'excitation', 'joie', 'frisson', 'satisfaction', 'délice']			
2213	Nobody listens to Bugs Bunny, its all haresay.				haresay	homophonic	['rabbit', 'bunny', 'mammal', 'ears', 'cottontail', 'burrow']	['rumor', 'gossip', 'testimony', 'hearsay', 'talk', 'report']	ouï-lapin	['lièvre', 'lapin', 'mammifère', 'oreilles', 'lapereau', 'terrier']	['rumeur', 'commérage', 'témoignage', 'ouï-dire', 'propos', 'rapport']			
2214	Noteworthy musicians are very composed.				composed	homographic	['calm', 'serene', 'collected', 'tranquil', 'poised', 'unflappable']	['written', 'scored', 'arranged', 'orchestrated', 'notated', 'authored']	composé	['calme', 'serein', 'posé', 'tranquille', 'assuré', 'imperturbable']	['écrit', 'noté', 'arrangé', 'orchestré', 'rédigé', 'conçu']			
2215	Nothing can compare to picnicking on a French hillside and savoring the bries.				bries	homophonic	['cheese', 'creamy', 'rind', 'dairy', 'soft', 'mild']	['wind', 'gust', 'air', 'weather', 'gentle', 'draft']	brises	['fromage', 'onctueux', 'croûte', 'laitage', 'mou', 'doux']	['vent', 'rafale', 'air', 'météo', 'léger', 'courant']			
2216	Notice in a field: The farmer allows walkers to cross the field for free, but the bull charges.				charges	homographic	['payment', 'fee', 'price', 'cost', 'toll', 'billing']	['attack', 'rush', 'sprint', 'assault', 'lunge', 'gallop']	charges	['paiement', 'frais', 'prix', 'coût', 'péage', 'facturation']	['attaque', 'ruée', 'sprint', 'assaut', 'estocade', 'galop']			
2217	Now that they allow us to wear jeans at the office everyday, I am no longer a slacker.				slacker	homographic	['lazy', 'unproductive', 'procrastinator', 'idle', 'underachiever', 'lethargic']	['slacks', 'trousers', 'pants', 'clothing', 'fit', 'waistband']	fainéant	['paresseux', 'improductif', 'procrastinateur', 'oisif', 'non-performant', 'léthargique']	['pantalons', 'slacks', 'vêtements', 'coupe', 'ceinture']			
2218	No... It's impossachievable...				impossachievable	homophonic	['impossible', 'futile', 'unobtainable', 'hopeless', 'unfeasible', 'stymied']	['achievable', 'attainable', 'feasible', 'success', 'accomplishment', 'victory']	imposséalisable	['impossible', 'futile', 'inaccessible', 'désespéré', 'infaisable', 'bloqué']	['réalisable', 'atteignable', 'faisable', 'succès', 'accomplissement', 'victoire']			
2219	"Nurse: ""Doctor, there's a patient on line 1 that says he's invisible."" Doctor: ""Well tell him I can't see him right now."""				see	homographic	['consult', 'meet', 'examine', 'appointment', 'treatment', 'interview']	['vision', 'sight', 'observe', 'perceive', 'view', 'eye']	voir	['consulter', 'rencontrer', 'examiner', 'rendez-vous', 'traitement', 'entretien']	['vision', 'vue', 'observer', 'percevoir', 'regarder', 'oeil']			
2220	Nurses who give shots do a great job but sometimes get paid a measle-y salary.				measle-y	homophonic	['paltry', 'scant', 'meager', 'small', 'insufficient']	['measles', 'virus', 'infection', 'rash', 'sickness', 'contagion']	misérable	['dérisoire', 'maigre', 'malingre', 'petit', 'insuffisant']	['rougeole', 'virus', 'infection', 'éruption', 'maladie', 'contagion']			
2221	Old academicians never die, they just lose their faculties				faculties	homographic	['intellect', 'cognition', 'reasoning', 'senses', 'memory', 'brain']	['professors', 'teachers', 'lecturers', 'department', 'university', 'staff']	facultés	['intellect', 'cognition', 'raisonnement', 'sens', 'mémoire', 'cerveau']	['professeurs', 'enseignants', 'conférenciers', 'département', 'université', 'personnel']			
