id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
3201	The oil well driller had a boring job.				boring	homographic	['drilling', 'piercing', 'penetrating', 'digging']	['monotonous', 'dull', 'tedious', 'uninteresting']	ennuyant	['forage', 'perçage', 'pénétration', 'creusage']	['monotone', 'terne', 'fastidieux', 'désintéressant']	boring	['drilling', 'piercing', 'penetrating', 'digging']	['monotonous', 'dull', 'tedious', 'uninteresting']
3202	The old doctors practice of bloodletting was all in vein.				vein	homophonic	['vain', 'futile', 'useless', 'unsuccessful', 'pointless']	['vein', 'blood vessel', 'artery', 'capillary']	veine	['vain', 'futile', 'inutile', 'infructueux', 'sans intérêt']	['veine', 'vaisseaux sanguins', 'artère', 'capillaire']	vein	['vain', 'futile', 'useless', 'unfruitful', 'pointless']	['vein', 'blood vessels', 'artery', 'capillary']
3203	The oldest way to stay young.				oldest	homographic	['most aged', 'ancient', 'long-standing']	['earliest', 'original', 'traditional']	le plus vieux	['le plus âgé', 'ancien', 'de longue date']	['le plus précoce', 'original', 'traditionnel']	the oldest	['the eldest', 'ancient', 'long-standing']	['the earliest', 'original', 'traditional']
3204	The one thing that is constant is Change especially if you are a cashier.				change	homographic	['transformation', 'alteration', 'modification', 'transition', 'evolution']	['coins', 'currency', 'small cash', 'legal tender', 'loose money']	monnaie	['transformation', 'altération', 'modification', 'transition', 'évolution']	['pièces', 'devise', 'petite monnaie', 'monnaie légale', 'argent liquide']	currency	['transformation', 'alteration', 'modification', 'transition', 'evolution']	['coins', 'currency', 'loose change', 'legal tender', 'cash']
3205	The only dinosaur who loved drinking tea was the TEA-REX.				TEA-REX	homophonic	['Tyrannosaurus rex', 'T-Rex', 'theropod dinosaur', 'extinct reptile']	['tea', 'beverage', 'infusion', 'herbal drink']	THÉ-REX	['Tyrannosaurus rex', 'T-Rex', 'dinosaure théropode', 'reptile éteint']	['thé', 'boisson', 'infusion', 'tisane']	TEA-REX	['Tyrannosaurus rex', 'T-Rex', 'theropod dinosaur', 'extinct reptile']	['tea', 'beverage', 'infusion', 'herbal tea']
3206	The only thing common between a stork and an obstetrician is the long bill.				bill	homographic	['beak', 'neb', 'rostrum']	['invoice', 'charge', 'account', 'statement']	facture	['bec', 'pointe', 'rostre']	['facture', 'frais', 'compte', 'relevé']	bill	['beak', 'tip', 'rostrum']	['invoice', 'cost', 'account', 'statement']
3207	The only things sure for cab drivers are debt and taxis.				taxis	homophonic	['cabs', 'hackneys', 'vehicles', 'taxis']	['taxes', 'levies', 'duties', 'tariffs', 'assessments']	taxis	['taxis', 'fiacres', 'véhicules', 'automobiles de place']	['taxes', 'prélèvements', 'droits', 'tarifs', 'impositions']	taxis	['taxis', 'hansom cabs', 'vehicles', 'hired cars']	['taxes', 'levies', 'duties', 'tariffs', 'impositions']
3208	The only time I have a drinking problem is when I spill it!				drinking problem	homographic	['alcoholism', 'substance abuse', 'addiction', 'dipsomania']	['clumsiness', 'spilling', 'physical difficulty consuming liquid', 'mishap']	problème de boisson	['alcoolisme', 'abus de substances', 'dépendance', 'dipsomanie']	['maladresse', 'renversement', 'difficulté physique à consommer un liquide', 'mésaventure']	drinking problem	['alcoholism', 'substance abuse', 'addiction', 'dipsomania']	['clumsiness', 'spilling', 'physical difficulty consuming a liquid', 'mishap']
3209	The optical scientist who stole his colleague's bifocals was sentenced to three years in a state prism.				prism	homophonic	['prison', 'jail', 'penitentiary', 'correctional facility']	['prism', 'optical glass', 'spectroscope', 'refractor']	prisme	['prison', 'geôle', 'pénitencier', 'établissement correctionnel']	['prisme', 'verre optique', 'spectroscope', 'réfracteur']	prism	['prison', 'jail', 'penitentiary', 'correctional facility']	['prism', 'optical glass', 'spectroscope', 'refractor']
3210	The optometrist ran for mayor because he was a visionary.				visionary	homographic	['creative', 'farsighted', 'imaginative', 'idealistic']	['ophthalmic', 'pertaining to eyesight', 'visual', 'optic']	visionnaire	['créatif', 'clairvoyant', 'imaginatif', 'idéaliste']	['ophtalmique', 'relatif à la vue', 'visuel', 'optique']	visionary	['creative', 'farsighted', 'imaginative', 'idealistic']	['ophthalmic', 'related to sight', 'visual', 'optical']
