id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
801	Despite his immense success as a coffee seller he remained a grounded person.				grounded	homographic	['humble', 'sensible', 'realistic', 'modest', 'stable', 'balanced']	['coffee', 'beans', 'mill', 'crushed', 'powder', 'roast']
802	Diabetics should not be allowed to have sweet dreams.				sweet	homographic	['sugar', 'glucose', 'insulin', 'diabetes', 'fructose', 'hyperglycemia']	['pleasant', 'delightful', 'gentle', 'lovely', 'kind', 'amiable']
803	Diamond prospectors have to use a good strata-gem.				strata-gem	homophonic	['tactic', 'maneuver', 'scheme', 'plan', 'ploy', 'strategy']	['rock', 'layer', 'geology', 'diamond', 'jewel', 'sediment']
804	Did the electrician want to solve the problem? Yes, some would say it infused him.				infused	homophonic	['motivated', 'inspired', 'encouraged', 'animated', 'driven']	['in', 'fused', 'breaker', 'electricity', 'current', 'circuit']
805	Did the reproducing amoeba get a splitting headache?				splitting	homographic	['binary', 'fission', 'mitosis', 'asexual', 'reproduction', 'divide']	['painful', 'severe', 'throbbing', 'headache', 'migraine', 'intense']
806	Did you hear about that new drug that makes people angry? It's all the rage now.				rage	homographic	['anger', 'fury', 'wrath', 'hostility', 'temper', 'outrage']	['trend', 'fashion', 'craze', 'popularity', 'vogue', 'sensation']
807	Did you hear about that new drug that makes people angry? It's all the rage now.				rage	homographic	['anger', 'fury', 'wrath', 'outrage', 'hostility', 'temper']	['popular', 'trend', 'fashion', 'vogue', 'craze', 'sensation']
808	Did you hear about the bivalve they called in to interrogate for that big murder investigation? Apparently, he's clammed up.				clammed up	homographic	['mollusk', 'shellfish', 'bivalve', 'ocean', 'aquatic', 'closed']	['silent', 'quiet', 'secretive', 'uncommunicative', 'withdrawn', 'reticent']
809	Did you hear about the bread factory burning down? They say the business is toast.				toast	homographic	['bread', 'breakfast', 'crunchy', 'browned', 'sliced', 'butter']	['ruined', 'destroyed', 'finished', 'doomed', 'failed', 'ended']
810	Did you hear about the cheese factory that exploded in France? There was nothing but de brie.				de brie	homophonic	['debris', 'rubble', 'wreckage', 'detritus', 'fragments', 'scattered']	['brie', 'cheese', 'dairy', 'creamy', 'french', 'rind']
811	Did you hear about the cheese who saved the world? It was Legend-dairy!				Legend-dairy	homophonic	['famous', 'mythical', 'epic', 'heroic', 'fable', 'renowned']	['milk', 'cheese', 'cow', 'cream', 'butter', 'farm']
812	Did you hear about the claustrophobic astronaut? He just needed a little space.				space	homographic	['cosmos', 'universe', 'galaxy', 'stars', 'orbit', 'vacuum']	['room', 'clearance', 'distance', 'gap', 'area', 'capacity']
813	Did you hear about the claustrophobic astronaut? He just needed a little space.				space	homographic	['room', 'area', 'gap', 'volume', 'clearance', 'vicinity']	['cosmos', 'universe', 'orbit', 'stars', 'galaxy', 'void']
814	Did you hear about the crab in financial difficulty? It was starting to feel the pinch.				pinch	homographic	['crustacean', 'claw', 'grip', 'squeeze', 'pincer', 'shellfish']	['poverty', 'debt', 'restriction', 'hardship', 'shortage', 'distress']
815	Did you hear about the crime that happened in a parking garage? It was wrong on so many levels.				levels	homographic	['ethics', 'morality', 'wickedness', 'injustice', 'corruption', 'vice']	['floors', 'stories', 'parking', 'concrete', 'layers', 'structure']
816	Did you hear about the farmer who got attacked by a cow? He milked it for all it was worth.				milked	homographic	['dairy', 'udder', 'extraction', 'bovine', 'liquid', 'farmer']	['exploited', 'advantage', 'leverage', 'profit', 'manipulation', 'gain']
817	Did you hear about the farmer who got attacked by a cow? He milked it for all it was worth.				milked	homographic	['dairy', 'cow', 'udder', 'extract', 'liquid', 'farm']	['exploit', 'advantage', 'manipulate', 'profit', 'benefit', 'leverage']
818	Did you hear about the father that was difficult to see? He was transparent.				transparent	homographic	['clear', 'glassy', 'invisible', 'see-through', 'diaphanous', 'translucent']	['father', 'parent', 'guardian', 'paternal', 'ancestor', 'progenitor']
819	Did you hear about the father that was difficult to see? He was transparent.				transparent	homographic	['clear', 'glass', 'invisible', 'light', 'see-through', 'diaphanous']	['trans-parent', 'father', 'dad', 'male', 'guardian', 'paternity']
820	Did you hear about the film editor at Hollywood who had a part-time job at a pizza parlor? He used to ask customers whether they wanted one splice or two.				splice	homographic	['film', 'edit', 'cut', 'join', 'frame', 'celluloid']	['slice', 'pizza', 'crust', 'wedge', 'topping', 'cheese']
821	Did you hear about the film editor at Hollywood who had a part-time job at a pizza parlor? He used to ask customers whether they wanted one splice or two.				splice	homographic	['film', 'edit', 'cut', 'join', 'celluloid', 'frame']	['slice', 'pizza', 'portion', 'crust', 'cheese', 'wedge']
822	Did you hear about the guy who planted bullets? He wanted to see a lot of little shoots.				shoots	homographic	['sproum', 'seedling', 'growth', 'stem', 'botany', 'leaf']	['firearm', 'projectile', 'trigger', 'discharge', 'ballistics', 'weapon']
823	Did you hear about the guy whose whole left side was cut off? He's all right now.				all right	homographic	['healthy', 'recovered', 'stable', 'unharmed', 'well']	['dexter', 'unilateral', 'remaining', 'side', 'directional']
824	Did you hear about the herb who was an all round great guy, did loads of charity work and was always there to help? He was a Tarragon Of Virtue.				Tarragon	homophonic	['herb', 'culinary', 'flavoring', 'leafy', 'perennial', 'seasoning']	['paragon', 'exemplar', 'perfection', 'standard', 'ideal', 'excellence']
825	Did you hear about the horse that didn't want to come out of the barn? People realized it was STALLing.				stalling	homographic	['delaying', 'pausing', 'hesitating', 'procrastinating', 'waiting', 'lingering']	['stable', 'barn', 'enclosure', 'livestock', 'equine', 'partition']
826	Did you hear about the man who was jabbed in the back with a set of keys? His back locked up.				locked up	homographic	['mechanism', 'key', 'bolt', 'secure', 'tumble', 'fastened']	['spasm', 'stiffness', 'cramp', 'immobility', 'paralysis', 'muscle']
827	Did you hear about the man who was jabbed in the back with a set of keys? His back locked up.				locked	homographic	['muscle', 'spasm', 'stiff', 'immobile', 'paralyzed', 'cramp']	['latch', 'mechanism', 'tumbler', 'security', 'fastened', 'bolt']
828	Did you hear about the nervous preacher? He had sweaty psalms.				psalms	homophonic	['hymns', 'scripture', 'bible', 'verses', 'liturgy', 'worship']	['hands', 'palms', 'fingers', 'skin', 'anatomy', 'sweat']
829	Did you hear about the nervous preacher? He had sweaty psalms.				psalms	homophonic	['palms', 'hands', 'fingers', 'skin', 'sweat', 'grip']	['hymns', 'bible', 'scripture', 'church', 'prayer', 'verses']
